gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-1.987612552270795458e-05,3.543207003596810824e-03,2.214043266099131185e-03
-1.989416179709704822e-05,3.543206995916209877e-03,2.214043278390651851e-03
-1.991219808501486062e-05,3.543206988228638811e-03,2.214043290693326789e-03
-1.993023438510835150e-05,3.543206980534098927e-03,2.214043303007155131e-03
-1.994827069615977549e-05,3.543206972832588925e-03,2.214043315332136878e-03
-1.996630701707317019e-05,3.543206965124109237e-03,2.214043327668272897e-03
-1.998434334686216915e-05,3.543206957408659864e-03,2.214043340015562321e-03
-2.000237968463903438e-05,3.543206949686240372e-03,2.214043352374006016e-03
-2.002041602960481393e-05,3.543206941956851194e-03,2.214043364743602683e-03
-2.003845238104043442e-05,3.543206934220493633e-03,2.214043377124353187e-03
-2.005648873829874574e-05,3.543206926477164651e-03,2.214043389516257964e-03
-2.007452510079730431e-05,3.543206918726866418e-03,2.214043401919316145e-03
-2.009256146801192210e-05,3.543206910969599367e-03,2.214043414333528165e-03
-2.011059783947080854e-05,3.543206903205362197e-03,2.214043426758894456e-03
-2.012863421474936294e-05,3.543206895434154475e-03,2.214043439195414586e-03
-2.014667059346545488e-05,3.543206887655977935e-03,2.214043451643087686e-03
-2.016470697527515170e-05,3.543206879870831275e-03,2.214043464101915059e-03
-2.018274335986891367e-05,3.543206872078714497e-03,2.214043476571896270e-03
-2.020077974696817200e-05,3.543206864279628901e-03,2.214043489053030885e-03
-2.021881613632219816e-05,3.543206856473573186e-03,2.214043501545319339e-03
-2.023685252770533917e-05,3.543206848660547352e-03,2.214043514048761631e-03
-2.025488892091450703e-05,3.543206840840551833e-03,2.214043526563357761e-03
-2.027292531576693237e-05,3.543206833013587496e-03,2.214043539089108163e-03
-2.029096171209811121e-05,3.543206825179653040e-03,2.214043551626011536e-03
-2.030899810975999914e-05,3.543206817338748465e-03,2.214043564174069181e-03
-2.032703450861933755e-05,3.543206809490874205e-03,2.214043576733280665e-03
-2.034507090855621706e-05,3.543206801636030259e-03,2.214043589303645986e-03
-2.036310730946270535e-05,3.543206793774216195e-03,2.214043601885164712e-03
-2.038114371124167146e-05,3.543206785905432879e-03,2.214043614477837277e-03
