accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
-1.635355596341171226e-04,1.998452891979696777e-01,9.794841277575345728e+00
-1.636900102809639868e-04,1.998607602781725945e-01,9.794841276398464913e+00
-1.638444728870555350e-04,1.998746842503552057e-01,9.794841275220370846e+00
-1.639989462567171315e-04,1.998872158253195697e-01,9.794841274041070633e+00
-1.641534293138416638e-04,1.998984942427874945e-01,9.794841272860578485e+00
-1.643079210899330153e-04,1.999086448185086184e-01,9.794841271678899730e+00
-1.644624207133448164e-04,1.999177803366576356e-01,9.794841270496037922e+00
-1.646169273995957006e-04,1.999260023029917344e-01,9.794841269312007270e+00
-1.647714404426525898e-04,1.999334020726924455e-01,9.794841268126806000e+00
-1.649259592070859495e-04,1.999400618654230688e-01,9.794841266940446545e+00
-1.650804831210094914e-04,1.999460556788806298e-01,9.794841265752928905e+00
-1.652350116697256642e-04,1.999514501109924403e-01,9.794841264564258410e+00
-1.653895443900070029e-04,1.999563050998930669e-01,9.794841263374442164e+00
-1.655440808649490407e-04,1.999606745899036309e-01,9.794841262183478392e+00
-1.656986207193378389e-04,1.999646071309131301e-01,9.794841260991372422e+00
-1.658531636154813107e-04,1.999681464178216794e-01,9.794841259798127808e+00
-1.660077092494566080e-04,1.999713317760393738e-01,9.794841258603746326e+00
-1.661622573477334816e-04,1.999741985984353210e-01,9.794841257408233304e+00
-1.663168076641349921e-04,1.999767787385916540e-01,9.794841256211586966e+00
-1.664713599771019319e-04,1.999791008647323620e-01,9.794841255013810866e+00
-1.666259140872316049e-04,1.999811907782589881e-01,9.794841253814906779e+00
-1.667804698150614196e-04,1.999830717004329739e-01,9.794841252614880034e+00
-1.669350269990754472e-04,1.999847645303895471e-01,9.794841251413718197e+00
-1.670895854939096880e-04,1.999862880773504714e-01,9.794841250211440808e+00
-1.672441451687366643e-04,1.999876592696152866e-01,9.794841249008037209e+00
-1.673987059058118575e-04,1.999888933426536286e-01,9.794841247803512729e+00
-1.675532675991655098e-04,1.999900040083881503e-01,9.794841246597867368e+00
-1.677078301534249913e-04,1.999910036075492059e-01,9.794841245391099349e+00
-1.678623934827552084e-04,1.999919032467941671e-01,9.794841244183215778e+00
-1.680169575099048319e-04,1.999927129221146238e-01,9.794841242974211326e+00
-1.681715221653478525e-04,1.999934416299030404e-01,9.794841241764087769e+00
-1.683260873865111411e-04,1.999940974669126015e-01,9.794841240552848660e+00
-1.684806531170791226e-04,1.999946877202212203e-01,9.794841239340492223e+00
-1.686352193063679204e-04,1.999952189481989662e-01,9.794841238127014904e+00
-1.687897859087623574e-04,1.999956970533789402e-01,9.794841236912425586e+00
-1.689443528832090910e-04,1.999961273480409252e-01,9.794841235696717163e+00
-1.690989201927601377e-04,1.999965146132366978e-01,9.794841234479896741e+00
-1.692534878041626915e-04,1.999968631519128959e-01,9.794841233261960767e+00
-1.694080556874893572e-04,1.999971768367214686e-01,9.794841232042907464e+00
-1.695626238158059237e-04,1.999974591530492007e-01,9.794841230822738609e+00
-1.697171921648715819e-04,1.999977132377441513e-01,9.794841229601457755e+00
-1.698717607128699615e-04,1.999979419139696069e-01,9.794841228379061349e+00
-1.700263294401665949e-04,1.999981477225725168e-01,9.794841227155549390e+00
-1.701808983290905859e-04,1.999983329503151330e-01,9.794841225930923656e+00
-1.703354673637385045e-04,1.999984996552834904e-01,9.794841224705187699e+00
-1.704900365297973102e-04,1.999986496897550037e-01,9.794841223478334413e+00
-1.706446058143857322e-04,1.999987847207793656e-01,9.794841222250367352e+00
-1.707991752059105867e-04,1.999989062487013136e-01,9.794841221021286515e+00
-1.709537446939384875e-04,1.999990156238310446e-01,9.794841219791093678e+00
-1.711083142690795393e-04,1.999991140614478247e-01,9.794841218559785290e+00
-1.712628839228829824e-04,1.999992026553029101e-01,9.794841217327364902e+00
-1.714174536477434908e-04,1.999992823897724925e-01,9.794841216093830738e+00
-1.715720234368163879e-04,1.999993541507951167e-01,9.794841214859184575e+00
-1.717265932839417790e-04,1.999994187357154729e-01,9.794841213623424636e+00
-1.718811631835760300e-04,1.999994768621438102e-01,9.794841212386549145e+00
-1.720357331307300220e-04,1.999995291759293081e-01,9.794841211148563431e+00
-1.721903031209137756e-04,1.999995762583362535e-01,9.794841209909462165e+00
-1.723448731500866861e-04,1.999996186325025127e-01,9.794841208669252453e+00
-1.724994432146122040e-04,1.999996567692521321e-01,9.794841207427925411e+00
-1.726540133112178005e-04,1.999996910923267923e-01,9.794841206185484594e+00
-1.728085834369584844e-04,1.999997219830939865e-01,9.794841204941933555e+00
-1.729631535891839504e-04,1.999997497847844641e-01,9.794841203697268739e+00
-1.731177237655091166e-04,1.999997748063059022e-01,9.794841202451491924e+00
-1.732722939637876692e-04,1.999997973256751882e-01,9.794841201204599557e+00
-1.734268641820881562e-04,1.999998175931075317e-01,9.794841199956595190e+00
-1.735814344186725744e-04,1.999998358337966575e-01,9.794841198707480601e+00
-1.737360046719768538e-04,1.999998522504168597e-01,9.794841197457252235e+00
-1.738905749405935915e-04,1.999998670253750610e-01,9.794841196205908318e+00
-1.740451452232564394e-04,1.999998803228374422e-01,9.794841194953454178e+00
-1.741997155188257384e-04,1.999998922905535659e-01,9.794841193699884485e+00
-1.743542858262762127e-04,1.999999030614980911e-01,9.794841192445202793e+00
-1.745088561446852876e-04,1.999999127553481471e-01,9.794841191189409102e+00
-1.746634264732228436e-04,1.999999214798132141e-01,9.794841189932503411e+00
-1.748179968111420281e-04,1.999999293318317772e-01,9.794841188674483945e+00
-1.749725671577709611e-04,1.999999363986484646e-01,9.794841187415352479e+00
-1.751271375125050371e-04,1.999999427587834944e-01,9.794841186155109014e+00
-1.752817078748005017e-04,1.999999484829050322e-01,9.794841184893751773e+00
-1.754362782441681629e-04,1.999999536346143969e-01,9.794841183631280757e+00
-1.755908486201679158e-04,1.999999582711528279e-01,9.794841182367697741e+00
-1.757454190024039726e-04,1.999999624440374213e-01,9.794841181103000949e+00
-1.758999893905203082e-04,1.999999661996335609e-01,9.794841179837195710e+00
-1.760545597841968121e-04,1.999999695796700894e-01,9.794841178570273144e+00
-1.762091301831456285e-04,1.999999726217029650e-01,9.794841177302238577e+00
-1.763637005871077415e-04,1.999999753595325391e-01,9.794841176033092012e+00
-1.765182709958504001e-04,1.999999778235791725e-01,9.794841174762831670e+00
-1.766728414091644345e-04,1.999999800412211315e-01,9.794841173491461106e+00
-1.768274118268617085e-04,1.999999820370989001e-01,9.794841172218974990e+00
