ref_gps_lat (deg),ref_gps_lon (deg),ref_gps_alt (m),ref_gps_vN (m/s),ref_gps_vE (m/s),ref_gps_vD (m/s)
3.200029374550204153e+01,1.199999999999999858e+02,-3.988981062764188523e-15,3.877977443164908777e+00,-2.374576331468771336e-16,4.749152662937542672e-16
3.200029723463222098e+01,1.199999999999999858e+02,-4.036362467501115378e-15,3.857992134917825666e+00,-2.362338859581389533e-16,4.724677719162779067e-16
3.200030070573460961e+01,1.199999999999999858e+02,-4.083499060065344073e-15,3.837997257615315405e+00,-2.350095528337457777e-16,4.700191056674915555e-16
3.200030415880360124e+01,1.199999999999999858e+02,-4.130390764130369510e-15,3.817999043789485292e+00,-2.337850154062224034e-16,4.675700308124448067e-16
3.200030759383722767e+01,1.199999999999999858e+02,-4.177037553082785761e-15,3.797999666589908507e+00,-2.325604067426023208e-16,4.651208134852046417e-16
3.200031101083481389e+01,1.199999999999999858e+02,-4.223439417643069746e-15,3.777999883746989251e+00,-2.313357732404911593e-16,4.626715464809823187e-16
3.200031440979611119e+01,1.199999999999999858e+02,-4.269596354575653243e-15,3.757999959464981554e+00,-2.301111310777336332e-16,4.602222621554672664e-16
3.200031779072104854e+01,1.199999999999999858e+02,-4.315508362752364184e-15,3.737999985866212960e+00,-2.288864858951954599e-16,4.577729717903909197e-16
3.200032115360958329e+01,1.199999999999999858e+02,-4.361175441779831555e-15,3.717999995071753716e+00,-2.276618396597248975e-16,4.553236793194497949e-16
3.200032449846171545e+01,1.199999999999999858e+02,-4.406597591520896112e-15,3.697999998281527034e+00,-2.264371930571195051e-16,4.528743861142390103e-16
3.200032782527743791e+01,1.199999999999999858e+02,-4.451774811927733951e-15,3.677999999400706876e+00,-2.252125463265021532e-16,4.504250926530043063e-16
3.200033113405674356e+01,1.199999999999999858e+02,-4.496707102983668551e-15,3.657999999790940482e+00,-2.239878995512497199e-16,4.479757991024994399e-16
3.200033442479965373e+01,1.199999999999999858e+02,-4.541394464682888376e-15,3.637999999927005401e+00,-2.227632527604338993e-16,4.455265055208677985e-16
3.200033769750613999e+01,1.199999999999999858e+02,-4.585836897023362108e-15,3.617999999974448766e+00,-2.215386059641916276e-16,4.430772119283832553e-16
3.200034095217621655e+01,1.199999999999999858e+02,-4.630034400004386082e-15,3.597999999990991515e+00,-2.203139591660572239e-16,4.406279183321144477e-16
3.200034418880988341e+01,1.199999999999999858e+02,-4.673986973625713387e-15,3.577999999996759328e+00,-2.190893123672630612e-16,4.381786247345261224e-16
3.200034740740714057e+01,1.199999999999999858e+02,-4.717694617887255669e-15,3.557999999998770591e+00,-2.178646655682388469e-16,4.357293311364776939e-16
3.200035060796798803e+01,1.199999999999999858e+02,-4.761157332788985318e-15,3.537999999999471790e+00,-2.166400187691344401e-16,4.332800375382688801e-16
3.200035379049241868e+01,1.199999999999999858e+02,-4.804375118330889712e-15,3.517999999999716021e+00,-2.154153719700020286e-16,4.308307439400040572e-16
3.200035695498044674e+01,1.199999999999999858e+02,-4.847347974512965696e-15,3.497999999999801268e+00,-2.141907251708599043e-16,4.283814503417198087e-16
3.200036010143205090e+01,1.199999999999999858e+02,-4.890075901335213271e-15,3.477999999999831005e+00,-2.129660783717143781e-16,4.259321567434287561e-16
3.200036322984725246e+01,1.199999999999999858e+02,-4.932558898797632435e-15,3.457999999999841201e+00,-2.117414315725676439e-16,4.234828631451352878e-16
3.200036634022605142e+01,1.199999999999999858e+02,-4.974796966900223189e-15,3.437999999999844736e+00,-2.105167847734205152e-16,4.210335695468410305e-16
3.200036943256842648e+01,1.199999999999999858e+02,-5.016790105642985533e-15,3.417999999999846938e+00,-2.092921379742732880e-16,4.185842759485465760e-16
3.200037250687439894e+01,1.199999999999999858e+02,-5.058538315025919467e-15,3.397999999999849141e+00,-2.080674911751260608e-16,4.161349823502521216e-16
3.200037556314395459e+01,1.199999999999999858e+02,-5.100041595049024202e-15,3.377999999999851344e+00,-2.068428443759788582e-16,4.136856887519577164e-16
3.200037860137710055e+01,1.199999999999999858e+02,-5.141299945712293427e-15,3.357999999999853546e+00,-2.056181975768316310e-16,4.112363951536632619e-16
3.200038162157383681e+01,1.199999999999999858e+02,-5.182313367015734242e-15,3.337999999999855749e+00,-2.043935507776844284e-16,4.087871015553688567e-16
3.200038462373416337e+01,1.199999999999999858e+02,-5.223081858959346648e-15,3.317999999999857952e+00,-2.031689039785372011e-16,4.063378079570744023e-16
3.200038760785808023e+01,1.199999999999999858e+02,-5.263605421543130643e-15,3.297999999999860155e+00,-2.019442571793899739e-16,4.038885143587799478e-16
3.200039057394558029e+01,1.199999999999999858e+02,-5.303884054767086228e-15,3.277999999999862357e+00,-2.007196103802427713e-16,4.014392207604855426e-16
3.200039352199667775e+01,1.199999999999999858e+02,-5.343917758631213402e-15,3.257999999999864560e+00,-1.994949635810955441e-16,3.989899271621910882e-16
3.200039645201135841e+01,1.199999999999999858e+02,-5.383706533135512167e-15,3.237999999999866763e+00,-1.982703167819483168e-16,3.965406335638966337e-16
3.200039936398962936e+01,1.199999999999999858e+02,-5.423250378279978578e-15,3.217999999999868965e+00,-1.970456699828011143e-16,3.940913399656022285e-16
3.200040225793149773e+01,1.199999999999999858e+02,-5.462549294064612634e-15,3.197999999999871168e+00,-1.958210231836538870e-16,3.916420463673077740e-16
3.200040513383694218e+01,1.199999999999999858e+02,-5.501603280489418280e-15,3.177999999999873371e+00,-1.945963763845066598e-16,3.891927527690133196e-16
3.200040799170599115e+01,1.199999999999999858e+02,-5.540412337554395516e-15,3.157999999999875573e+00,-1.933717295853594572e-16,3.867434591707189144e-16
