accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
-1.545693493575331270e-04,-1.199522188347725129e-15,9.794841354098206665e+00
-1.545693501362174001e-04,-1.199522188365659290e-15,9.794841354244649523e+00
-1.545693509149016461e-04,-1.199522188383593649e-15,9.794841354391095933e+00
-1.545693516935859192e-04,-1.199522188401527810e-15,9.794841354537538791e+00
-1.545693524722701652e-04,-1.199522188419462168e-15,9.794841354683983425e+00
-1.545693532509544112e-04,-1.199522188437396132e-15,9.794841354830426283e+00
-1.545693540296386571e-04,-1.199522188455330490e-15,9.794841354976870917e+00
-1.545693548083228760e-04,-1.199522188473265045e-15,9.794841355123317328e+00
-1.545693555870071220e-04,-1.199522188491199206e-15,9.794841355269761962e+00
-1.545693563656913680e-04,-1.199522188509133368e-15,9.794841355416204820e+00
-1.545693571443756140e-04,-1.199522188527067726e-15,9.794841355562649454e+00
-1.545693579230598329e-04,-1.199522188545001887e-15,9.794841355709094088e+00
-1.545693587017440789e-04,-1.199522188562936245e-15,9.794841355855538723e+00
-1.545693594804283249e-04,-1.199522188580870406e-15,9.794841356001981580e+00
-1.545693602591125437e-04,-1.199522188598804567e-15,9.794841356148426215e+00
-1.545693610377967897e-04,-1.199522188616739123e-15,9.794841356294872625e+00
-1.545693618164810086e-04,-1.199522188634673481e-15,9.794841356441317259e+00
-1.545693625951652275e-04,-1.199522188652607445e-15,9.794841356587760117e+00
-1.545693633738494735e-04,-1.199522188670541803e-15,9.794841356734204751e+00
-1.545693641525336924e-04,-1.199522188688476161e-15,9.794841356880649386e+00
-1.545693649312178842e-04,-1.199522188706410322e-15,9.794841357027094020e+00
-1.545693657099021030e-04,-1.199522188724344483e-15,9.794841357173536878e+00
-1.545693664885863219e-04,-1.199522188742278841e-15,9.794841357319981512e+00
-1.545693672672705408e-04,-1.199522188760212805e-15,9.794841357466424370e+00
-1.545693680459547597e-04,-1.199522188778147558e-15,9.794841357612872557e+00
-1.545693688246389786e-04,-1.199522188796081719e-15,9.794841357759315414e+00
-1.545693696033231975e-04,-1.199522188814015880e-15,9.794841357905760049e+00
-1.545693703820074164e-04,-1.199522188831950041e-15,9.794841358052204683e+00
-1.545693711606916081e-04,-1.199522188849884597e-15,9.794841358198651093e+00
-1.545693719393757999e-04,-1.199522188867818560e-15,9.794841358345093951e+00
-1.545693727180600188e-04,-1.199522188885752919e-15,9.794841358491538585e+00
-1.545693734967442377e-04,-1.199522188903687080e-15,9.794841358637981443e+00
-1.545693742754284295e-04,-1.199522188921621241e-15,9.794841358784426077e+00
-1.545693750541126212e-04,-1.199522188939555796e-15,9.794841358930872488e+00
-1.545693758327968401e-04,-1.199522188957490154e-15,9.794841359077317122e+00
-1.545693766114810319e-04,-1.199522188975424118e-15,9.794841359223759980e+00
-1.545693773901652508e-04,-1.199522188993358476e-15,9.794841359370204614e+00
-1.545693781688494426e-04,-1.199522189011292835e-15,9.794841359516649248e+00
-1.545693789475336072e-04,-1.199522189029226996e-15,9.794841359663093883e+00
-1.545693797262178261e-04,-1.199522189047161157e-15,9.794841359809536740e+00
-1.545693805049020179e-04,-1.199522189065095515e-15,9.794841359955981375e+00
-1.545693812835862097e-04,-1.199522189083029873e-15,9.794841360102427785e+00
-1.545693820622704015e-04,-1.199522189100964232e-15,9.794841360248872419e+00
-1.545693828409545932e-04,-1.199522189118898590e-15,9.794841360395317054e+00
-1.545693836196387579e-04,-1.199522189136832554e-15,9.794841360541759911e+00
-1.545693843983229226e-04,-1.199522189154766912e-15,9.794841360688204546e+00
-1.545693851770071144e-04,-1.199522189172701270e-15,9.794841360834649180e+00
-1.545693859556913062e-04,-1.199522189190635234e-15,9.794841360981092038e+00
-1.545693867343754708e-04,-1.199522189208569592e-15,9.794841361127536672e+00
-1.545693875130596626e-04,-1.199522189226503556e-15,9.794841361273979530e+00
-1.545693882917438544e-04,-1.199522189244438309e-15,9.794841361420427717e+00
-1.545693890704279920e-04,-1.199522189262372470e-15,9.794841361566870575e+00
-1.545693898491121837e-04,-1.199522189280306828e-15,9.794841361713315209e+00
-1.545693906277963755e-04,-1.199522189298240792e-15,9.794841361859758067e+00
-1.545693914064805131e-04,-1.199522189316175347e-15,9.794841362006204477e+00
-1.545693921851647049e-04,-1.199522189334109508e-15,9.794841362152647335e+00
-1.545693929638488424e-04,-1.199522189352043669e-15,9.794841362299091969e+00
-1.545693937425330342e-04,-1.199522189369977830e-15,9.794841362445534827e+00
-1.545693945212171718e-04,-1.199522189387912386e-15,9.794841362591981238e+00
-1.545693952999013636e-04,-1.199522189405846547e-15,9.794841362738425872e+00
-1.545693960785854740e-04,-1.199522189423780905e-15,9.794841362884870506e+00
-1.545693968572696658e-04,-1.199522189441715066e-15,9.794841363031313364e+00
-1.545693976359538305e-04,-1.199522189459649227e-15,9.794841363177757998e+00
-1.545693984146379681e-04,-1.199522189477583585e-15,9.794841363324202632e+00
-1.545693991933221056e-04,-1.199522189495517944e-15,9.794841363470647266e+00
