q0 (),q1,q2,q3
4.165859356042106042e-17,6.803364625527196230e-01,7.328999234010411534e-01,4.487717726442127044e-17
4.163509483847240865e-17,6.799526993000819530e-01,7.332559762555858063e-01,4.489897921385353915e-17
4.161158424403887561e-17,6.795687421550520302e-01,7.336118351593030606e-01,4.492076928722280761e-17
4.158806182916072160e-17,6.791845919675117971e-01,7.339674993035621986e-01,4.494254743501472965e-17
4.156452764134250936e-17,6.788002495132694492e-01,7.343229679512436325e-01,4.496431361209374728e-17
4.154098172400486260e-17,6.784157155014378660e-01,7.346782404295584268e-01,4.498606777726341779e-17
4.151742411689138258e-17,6.780309905810790738e-01,7.350333161235894641e-01,4.500780989287092332e-17
4.149385485643493845e-17,6.776460753471870158e-01,7.353881944704813156e-01,4.502953992445131302e-17
4.147027397608757749e-17,6.772609703460752417e-01,7.357428749542143098e-01,4.505125784040749671e-17
4.144668150661756821e-17,6.768756760802275840e-01,7.360973571009034044e-01,4.507296361172237848e-17
4.142307747637687354e-17,6.764901930126667740e-01,7.364516404745696798e-01,4.509465721169995620e-17
4.139946191154201222e-17,6.761045215708877398e-01,7.368057246733368260e-01,4.511633861573239802e-17
4.137583483633090309e-17,6.757186621503991075e-01,7.371596093260093241e-01,4.513800780109053201e-17
4.135219627319817601e-17,6.753326151179129822e-01,7.375132940889952415e-01,4.515966474673543167e-17
4.132854624301102000e-17,6.749463808142162069e-01,7.378667786435374465e-01,4.518130943314883546e-17
4.130488476520747313e-17,6.745599595567561835e-01,7.382200626932239329e-01,4.520294184218075495e-17
4.128121185793908923e-17,6.741733516419702310e-01,7.385731459617472794e-01,4.522456195691223762e-17
4.125752753819923260e-17,6.737865573473810210e-01,7.389260281908902606e-01,4.524616976153203341e-17
4.123383182193874469e-17,6.733995769334855108e-01,7.392787091387136300e-01,4.526776524122563650e-17
4.121012472416999982e-17,6.730124106454545840e-01,7.396311885779249806e-01,4.528934838207540814e-17
4.118640625906065019e-17,6.726250587146633819e-01,7.399834662944135832e-01,4.531091917097084370e-17
4.116267644001805865e-17,6.722375213600707555e-01,7.403355420859304425e-01,4.533247759552776374e-17
4.113893527976522039e-17,6.718497987894591628e-01,7.406874157609019127e-01,4.535402364401566485e-17
4.111518279040930758e-17,6.714618912005534401e-01,7.410390871373628841e-01,4.537555730529239827e-17
4.109141898350316969e-17,6.710737987820262207e-01,7.413905560419964402e-01,4.539707856874536894e-17
4.106764387010091737e-17,6.706855217144046533e-01,7.417418223092701046e-01,4.541858742423862018e-17
4.104385746080781790e-17,6.702970601708859721e-01,7.420928857806600165e-01,4.544008386206538496e-17
4.102005976582533423e-17,6.699084143180726869e-01,7.424437463039509355e-01,4.546156787290515458e-17
4.099625079499159106e-17,6.695195843166336092e-01,7.427944037326089655e-01,4.548303944778532034e-17
4.097243055781788433e-17,6.691305703218999312e-01,7.431448579252156739e-01,4.550449857804649446e-17
4.094859906352150520e-17,6.687413724844014640e-01,7.434951087449593876e-01,4.552594525531139319e-17
4.092475632105532854e-17,6.683519909503496947e-01,7.438451560591785583e-01,4.554737947145681998e-17
4.090090233913442462e-17,6.679624258620726618e-01,7.441949997389495364e-01,4.556880121858849583e-17
4.087703712626006392e-17,6.675726773584065299e-01,7.445446396587170890e-01,4.559021048901836726e-17
4.085316069074128753e-17,6.671827455750481972e-01,7.448940756959612219e-01,4.561160727524425612e-17
4.082927304071435754e-17,6.667926306448730411e-01,7.452433077308979747e-01,4.563299156993150628e-17
4.080537418416025367e-17,6.664023326982203566e-01,7.455923356462098583e-01,4.565436336589649765e-17
4.078146412892046903e-17,6.660118518631512607e-01,7.459411593268036045e-01,4.567572265609179343e-17
4.075754288271115411e-17,6.656211882656802858e-01,7.462897786595926730e-01,4.569706943359284654e-17
4.073361045313594197e-17,6.652303420299839898e-01,7.466381935333006314e-01,4.571840369158593254e-17
4.070966684769741750e-17,6.648393132785889170e-01,7.469864038382856286e-01,4.573972542335743222e-17
4.068571207380750823e-17,6.644481021325411296e-01,7.473344094663808557e-01,4.576103462228403859e-17
4.066174613879680890e-17,6.640567087115583078e-01,7.476822103107526596e-01,4.578233128182407331e-17
4.063776904992298157e-17,6.636651331341669735e-01,7.480298062657720903e-01,4.580361539550962881e-17
4.061378081437829299e-17,6.632733755178258361e-01,7.483771972268992156e-01,4.582488695693948098e-17
4.058978143929648012e-17,6.628814359790377031e-01,7.487243830905795372e-01,4.584614595977274735e-17
4.056577093175884531e-17,6.624893146334488447e-01,7.490713637541508430e-01,4.586739239772317411e-17
4.054174929879975987e-17,6.620970115959393665e-01,7.494181391157586081e-01,4.588862626455398380e-17
4.051771654741168687e-17,6.617045269807049213e-01,7.497647090742811660e-01,4.590984755407324692e-17
4.049367268454963695e-17,6.613118609013294291e-01,7.501110735292612075e-01,4.593105626012973431e-17
4.046961771713517431e-17,6.609190134708504694e-01,7.504572323808450518e-01,4.595225237660916379e-17
4.044555165206008981e-17,6.605259848018196767e-01,7.508031855297273571e-01,4.597343589743084761e-17
4.042147449618963035e-17,6.601327750063550326e-01,7.511489328771020491e-01,4.599460681654465403e-17
4.039738625636545716e-17,6.597393841961892713e-01,7.514944743246173564e-01,4.601576512792827098e-17
4.037328693940830197e-17,6.593458124827135114e-01,7.518398097743363984e-01,4.603691082558480252e-17
4.034917655212035213e-17,6.589520599770157805e-01,7.521849391287007691e-01,4.605804390354050701e-17
4.032505510128738298e-17,6.585581267899162095e-01,7.525298622904984525e-01,4.607916435584287423e-17
4.030092259368069304e-17,6.581640130319985627e-01,7.528745791628345119e-01,4.610027217655879504e-17
4.027677903605886661e-17,6.577697188136387707e-01,7.532190896491051113e-01,4.612136735977298979e-17
4.025262443516930833e-17,6.573752442450305766e-01,7.535633936529735344e-01,4.614244989958654767e-17
4.022845879774970385e-17,6.569805894362084064e-01,7.539074910783498673e-01,4.616351979011564485e-17
4.020428213052921543e-17,6.565857544970681303e-01,7.542513818293711259e-01,4.618457702549037349e-17
4.018009444022972066e-17,6.561907395373860474e-01,7.545950658103844910e-01,4.620562159985368791e-17
4.015589573356673697e-17,6.557955446668350952e-01,7.549385429259318769e-01,4.622665350736046158e-17
4.013168601725043848e-17,6.554001699950007254e-01,7.552818130807362751e-01,4.624767274217666136e-17
4.010746529798644487e-17,6.550046156313938939e-01,7.556248761796887647e-01,4.626867929847854627e-17
4.008323358247658559e-17,6.546088816854638281e-01,7.559677321278378548e-01,4.628967317045202038e-17
4.005899087741956546e-17,6.542129682666086854e-01,7.563103808303792697e-01,4.631065435229198572e-17
4.003473718951158714e-17,6.538168754841857666e-01,7.566528221926465125e-01,4.633162283820179374e-17
4.001047252544688728e-17,6.534206034475202873e-01,7.569950561201034267e-01,4.635257862239278313e-17
3.998619689191824193e-17,6.530241522659135933e-01,7.573370825183360910e-01,4.637352169908376209e-17
3.996191029561739790e-17,6.526275220486500439e-01,7.576789012930470468e-01,4.639445206250066938e-17
