ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
-4.989031678646256053e-04,3.510412832466004631e-03,-5.997782078686075380e+00
-5.025789845192146863e-04,3.509907249218345224e-03,-5.997782302599664384e+00
-5.062542697585120047e-04,3.509397816951716816e-03,-5.997782502958881601e+00
-5.099290195377175839e-04,3.508884536226652365e-03,-5.997782682119344955e+00
-5.136032298140707228e-04,3.508367407607766199e-03,-5.997782842201110576e+00
-5.172768965467065567e-04,3.507846431663757484e-03,-5.997782985112234400e+00
-5.209500156965332163e-04,3.507321608967426708e-03,-5.997783112569963215e+00
-5.246225832261150598e-04,3.506792940095685655e-03,-5.997783226119824285e+00
-5.282945950995733596e-04,3.506260425629565206e-03,-5.997783327152791166e+00
-5.319660472824959884e-04,3.505724066154224886e-03,-5.997783416920743349e+00
-5.356369357418545862e-04,3.505183862258958068e-03,-5.997783496550369797e+00
-5.393072564459320270e-04,3.504639814537202375e-03,-5.997783567055696707e+00
-5.429770053642604026e-04,3.504091923586540123e-03,-5.997783629349346946e+00
-5.466461784675588978e-04,3.503540190008712623e-03,-5.997783684252678604e+00
-5.503147717276831580e-04,3.502984614409613250e-03,-5.997783732504921694e+00
-5.539827811175821381e-04,3.502425197399303483e-03,-5.997783774771381360e+00
-5.576502026112538672e-04,3.501861939592009875e-03,-5.997783811650832853e+00
-5.613170321837082600e-04,3.501294841606126650e-03,-5.997783843682174876e+00
-5.649832658109386029e-04,3.500723904064227416e-03,-5.997783871350420348e+00
-5.686488994698885935e-04,3.500149127593054320e-03,-5.997783895092081430e+00
-5.723139291384296817e-04,3.499570512823534096e-03,-5.997783915300016311e+00
-5.759783507953369994e-04,3.498988060390772863e-03,-5.997783932327803491e+00
-5.796421604202713638e-04,3.498401770934056552e-03,-5.997783946493662199e+00
-5.833053539937591101e-04,3.497811645096859153e-03,-5.997783958083992673e+00
-5.869679274971804916e-04,3.497217683526837942e-03,-5.997783967356554058e+00
-5.906298769127538498e-04,3.496619886875839550e-03,-5.997783974543335894e+00
-5.942911982235253143e-04,3.496018255799895631e-03,-5.997783979853123171e+00
-5.979518874133578528e-04,3.495412790959228928e-03,-5.997783983473827796e+00
-6.016119404669242237e-04,3.494803493018250676e-03,-5.997783985574572263e+00
-6.052713533696996032e-04,3.494190362645563635e-03,-5.997783986307564597e+00
-6.089301221079542132e-04,3.493573400513959488e-03,-5.997783985809795659e+00
-6.125882426687500682e-04,3.492952607300422747e-03,-5.997783984204560603e+00
-6.162457110399363136e-04,3.492327983686127710e-03,-5.997783981602822223e+00
-6.199025232101458647e-04,3.491699530356442809e-03,-5.997783978104451741e+00
-6.235586751687928041e-04,3.491067248000924526e-03,-5.997783973799331925e+00
-6.272141629060715151e-04,3.490431137313321740e-03,-5.997783968768358953e+00
-6.308689824129546210e-04,3.489791198991577022e-03,-5.997783963084341252e+00
-6.345231296811923351e-04,3.489147433737821002e-03,-5.997783956812807737e+00
-6.381766007033146289e-04,3.488499842258379301e-03,-5.997783950012737009e+00
-6.418293914726278708e-04,3.487848425263763864e-03,-5.997783942737208385e+00
-6.454814979832188384e-04,3.487193183468679895e-03,-5.997783935033996094e+00
-6.491329162299530912e-04,3.486534117592022392e-03,-5.997783926946096855e+00
-6.527836422084796336e-04,3.485871228356876139e-03,-5.997783918512212153e+00
-6.564336719152302638e-04,3.485204516490513112e-03,-5.997783909767171906e+00
-6.600830013474223929e-04,3.484533982724396812e-03,-5.997783900742323482e+00
-6.637316265030611048e-04,3.483859627794177929e-03,-5.997783891465883421e+00
-6.673795433809417586e-04,3.483181452439693473e-03,-5.997783881963244745e+00
-6.710267479806521565e-04,3.482499457404968080e-03,-5.997783872257267390e+00
-6.746732363025761221e-04,3.481813643438215738e-03,-5.997783862368522456e+00
-6.783190043478966444e-04,3.481124011291831990e-03,-5.997783852315524022e+00
