ref_Yaw (deg),ref_Pitch (deg),ref_Roll (deg)
1.051200000064477393e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.052100000058029536e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.053000000052226568e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.053900000047003829e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.054800000042303481e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.055700000038073085e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.056600000034265889e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.057500000030839118e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.058400000027755254e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.059300000024979767e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.060200000022481817e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.061100000020233551e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.062000000018210102e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.062900000016389157e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.063800000014750253e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.064700000013275201e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.065600000011947657e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.066500000010752842e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.067400000009677541e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.068300000008709674e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.069200000007838725e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.070100000007054888e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.071000000006349353e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.071900000005714446e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.072800000005143062e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.073700000004628663e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.074600000004165850e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.075500000003749221e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.076400000003374231e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.077300000003036899e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.078200000002733105e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.079100000002459723e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.080000000002213767e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.080900000001992396e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.081800000001793052e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.082700000001613745e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.083600000001452344e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.084500000001307143e+02,0.000000000000000000e+00,1.800000000000000000e+02
1.085400000001176437e+02,0.000000000000000000e+00,1.800000000000000000e+02
