gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-3.293636917067973603e-04,3.529495651704465248e-03,-8.989189927238278699e+00
-3.349021174433510373e-04,3.529002598794761004e-03,-8.990049414150881546e+00
-3.404402917085621043e-04,3.528500806728213698e-03,-8.990822950618712284e+00
-3.459781477114150260e-04,3.527990279170311813e-03,-8.991519131686533939e+00
-3.515156239777884905e-04,3.527471019640316188e-03,-8.992145692894643716e+00
-3.570526638187552907e-04,3.526943031520568539e-03,-8.992709596229316205e+00
-3.625892148520712139e-04,3.526406318065604395e-03,-8.993217107478196581e+00
-3.681252285715274990e-04,3.525860882411017971e-03,-8.993673865850169591e+00
-3.736606599593888384e-04,3.525306727582052952e-03,-8.994084946633240207e+00
-3.791954671375996296e-04,3.524743856501873218e-03,-8.994454917586621079e+00
-3.847296110538864135e-04,3.524172271999487498e-03,-8.994787889693592220e+00
-3.902630551992654741e-04,3.523591976817339218e-03,-8.995087562839129802e+00
-3.957957653538109275e-04,3.523002973618515141e-03,-8.995357266919699057e+00
-4.013277093578655123e-04,3.522405264993604904e-03,-8.995599998842138234e+00
-4.068588569061349844e-04,3.521798853467186709e-03,-8.995818455822593762e+00
-4.123891793623948214e-04,3.521183741503956972e-03,-8.996015065355610574e+00
-4.179186495927315805e-04,3.520559931514508252e-03,-8.996192012186275733e+00
-4.234472418154757107e-04,3.519927425860765874e-03,-8.996351262585177366e+00
-4.289749314661508365e-04,3.519286226861084114e-03,-8.996494586195852960e+00
-4.345016950759371345e-04,3.518636336795029698e-03,-8.996623575697476838e+00
-4.400275101623034681e-04,3.517977757907860426e-03,-8.996739664501323119e+00
-4.455523551305810761e-04,3.517310492414699348e-03,-8.996844142677534961e+00
-4.510762091853906509e-04,3.516634542504437893e-03,-8.996938171289253106e+00
-4.565990522509377043e-04,3.515949910343374885e-03,-8.997022795293300845e+00
-4.621208648992841369e-04,3.515256598078594918e-03,-8.997098955150828914e+00
-4.676416282858035143e-04,3.514554607841118179e-03,-8.997167497276873149e+00
-4.731613240910958031e-04,3.513843941748822589e-03,-8.997229183444973799e+00
-4.786799344687218873e-04,3.513124601909155612e-03,-8.997284699251318685e+00
-4.841974419981668666e-04,3.512396590421649600e-03,-8.997334661732484307e+00
-4.897138296425193084e-04,3.511659909380240689e-03,-8.997379626221389870e+00
-4.952290807103858824e-04,3.510914560875440238e-03,-8.997420092517666390e+00
-5.007431788216213557e-04,3.510160546996316314e-03,-8.997456510440995814e+00
-5.062561078764945882e-04,3.509397869832338573e-03,-8.997489284829082834e+00
-5.117678520279384316e-04,3.508626531475076554e-03,-8.997518780035873576e+00
-5.172783956565852161e-04,3.507846534019772641e-03,-8.997545323979920795e+00
-5.227877233483043578e-04,3.507057879566783613e-03,-8.997569211787929788e+00
-5.282958198739873008e-04,3.506260570222922458e-03,-8.997590709073939763e+00
-5.338026701713626280e-04,3.505454608102678317e-03,-8.997610054890582632e+00
-5.393082593286363177e-04,3.504639995329352289e-03,-8.997627464385240970e+00
-5.448125725697675189e-04,3.503816734036096538e-03,-8.997643131190558918e+00
-5.503155952412277325e-04,3.502984826366868816e-03,-8.997657229575919402e+00
-5.558173128000825020e-04,3.502144274477314145e-03,-8.997669916383772559e+00
-5.613177108032763518e-04,3.501295080535572323e-03,-8.997681332772327067e+00
-5.668167748979881584e-04,3.500437246723018224e-03,-8.997691605783980862e+00
-5.723144908129582922e-04,3.499570775234941804e-03,-8.997700849756890662e+00
-5.778108443506858307e-04,3.498695668281171303e-03,-8.997709167595399293e+00
