accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
-1.159271679496299201e-03,-1.199522193136174327e-15,9.794806608379740709e+00
-1.159271723297265093e-03,-1.199522193270681423e-15,9.794806609478081683e+00
-1.159271767098229685e-03,-1.199522193405188518e-15,9.794806610576422656e+00
-1.159271810899193842e-03,-1.199522193539695613e-15,9.794806611674765406e+00
-1.159271854700157350e-03,-1.199522193674202905e-15,9.794806612773108156e+00
-1.159271898501120640e-03,-1.199522193808709803e-15,9.794806613871447354e+00
-1.159271942302082629e-03,-1.199522193943216702e-15,9.794806614969786551e+00
-1.159271986103044185e-03,-1.199522194077723797e-15,9.794806616068129301e+00
-1.159272029904005307e-03,-1.199522194212230892e-15,9.794806617166470275e+00
-1.159272073704965562e-03,-1.199522194346737987e-15,9.794806618264811249e+00
-1.159272117505925383e-03,-1.199522194481245280e-15,9.794806619363152222e+00
-1.159272161306884336e-03,-1.199522194615752375e-15,9.794806620461494973e+00
-1.159272205107842423e-03,-1.199522194750259667e-15,9.794806621559837723e+00
-1.159272248908800292e-03,-1.199522194884766565e-15,9.794806622658176920e+00
-1.159272292709757511e-03,-1.199522195019273858e-15,9.794806623756519670e+00
-1.159272336510713645e-03,-1.199522195153780953e-15,9.794806624854862420e+00
-1.159272380311669346e-03,-1.199522195288288048e-15,9.794806625953203394e+00
-1.159272424112624397e-03,-1.199522195422795143e-15,9.794806627051544368e+00
-1.159272467913578797e-03,-1.199522195557302041e-15,9.794806628149883565e+00
-1.159272511714532546e-03,-1.199522195691809137e-15,9.794806629248226315e+00
-1.159272555515485645e-03,-1.199522195826316232e-15,9.794806630346567289e+00
-1.159272599316437877e-03,-1.199522195960823327e-15,9.794806631444908263e+00
-1.159272643117389891e-03,-1.199522196095330422e-15,9.794806632543249236e+00
-1.159272686918340822e-03,-1.199522196229837715e-15,9.794806633641593763e+00
-1.159272730719291536e-03,-1.199522196364344810e-15,9.794806634739934736e+00
-1.159272774520241165e-03,-1.199522196498851708e-15,9.794806635838273934e+00
-1.159272818321190578e-03,-1.199522196633358803e-15,9.794806636936614908e+00
-1.159272862122139123e-03,-1.199522196767866293e-15,9.794806638034959434e+00
-1.159272905923086801e-03,-1.199522196902373388e-15,9.794806639133300408e+00
-1.159272949724034045e-03,-1.199522197036880483e-15,9.794806640231641381e+00
-1.159272993524980639e-03,-1.199522197171387776e-15,9.794806641329985908e+00
-1.159273037325926582e-03,-1.199522197305894871e-15,9.794806642428326882e+00
-1.159273081126871658e-03,-1.199522197440402163e-15,9.794806643526669632e+00
-1.159273124927816083e-03,-1.199522197574909259e-15,9.794806644625010605e+00
-1.159273168728760075e-03,-1.199522197709416354e-15,9.794806645723353355e+00
-1.159273212529703416e-03,-1.199522197843923449e-15,9.794806646821694329e+00
-1.159273256330646106e-03,-1.199522197978430544e-15,9.794806647920035303e+00
-1.159273300131587929e-03,-1.199522198112937640e-15,9.794806649018376277e+00
-1.159273343932529319e-03,-1.199522198247444735e-15,9.794806650116719027e+00
-1.159273387733469841e-03,-1.199522198381951830e-15,9.794806651215060000e+00
-1.159273431534409930e-03,-1.199522198516459320e-15,9.794806652313402751e+00
-1.159273475335349151e-03,-1.199522198650966415e-15,9.794806653411743724e+00
-1.159273519136287938e-03,-1.199522198785473905e-15,9.794806654510090027e+00
-1.159273562937225858e-03,-1.199522198919981000e-15,9.794806655608431001e+00
-1.159273606738163128e-03,-1.199522199054488292e-15,9.794806656706773751e+00
-1.159273650539099747e-03,-1.199522199188995388e-15,9.794806657805114725e+00
-1.159273694340036149e-03,-1.199522199323502680e-15,9.794806658903459251e+00
-1.159273738140971467e-03,-1.199522199458009775e-15,9.794806660001800225e+00
-1.159273781941906134e-03,-1.199522199592516870e-15,9.794806661100141199e+00
-1.159273825742839934e-03,-1.199522199727023966e-15,9.794806662198482172e+00
-1.159273869543773518e-03,-1.199522199861531455e-15,9.794806663296826699e+00
-1.159273913344706234e-03,-1.199522199996038551e-15,9.794806664395167672e+00
-1.159273957145638516e-03,-1.199522200130545843e-15,9.794806665493510422e+00
-1.159274000946569931e-03,-1.199522200265052938e-15,9.794806666591851396e+00
-1.159274044747500912e-03,-1.199522200399560231e-15,9.794806667690195923e+00
-1.159274088548430809e-03,-1.199522200534067523e-15,9.794806668788538673e+00
-1.159274132349360489e-03,-1.199522200668574816e-15,9.794806669886881423e+00
-1.159274176150289302e-03,-1.199522200803081911e-15,9.794806670985222397e+00
-1.159274219951217247e-03,-1.199522200937589400e-15,9.794806672083566923e+00
-1.159274263752144976e-03,-1.199522201072096496e-15,9.794806673181907897e+00
