q0 (),q1,q2,q3
4.154687508037186100e-17,6.785119613148609119e-01,7.345893535524870011e-01,4.498062502578882846e-17
4.147793959882701066e-17,6.773861594658242558e-01,7.356276170482868304e-01,4.504420032912896853e-17
4.140872947274706292e-17,6.762558723311478115e-01,7.366668141959690219e-01,4.510783280215857272e-17
4.133926187589884611e-17,6.751213803797282420e-01,7.377066637588211018e-01,4.517150522409565185e-17
4.126955230446757157e-17,6.739829366834754198e-01,7.387469127241874656e-01,4.523520210238326172e-17
4.119961474278553350e-17,6.728407696238671853e-01,7.397873334492569564e-01,4.529890949791940953e-17
4.112946181266069889e-17,6.716950853306705715e-01,7.408277210948731595e-01,4.536261486792322772e-17
4.105910490793469041e-17,6.705460698794400987e-01,7.418678913184186818e-01,4.542630692466489403e-17
4.098855431573601386e-17,6.693938912717338763e-01,7.429076781997114853e-01,4.548997550846342620e-17
4.091781932574833758e-17,6.682387012195992737e-01,7.439469323764585917e-01,4.555361147351612499e-17
4.084690832868146016e-17,6.670806367537263082e-01,7.449855193681572674e-01,4.561720658526711717e-17
4.077582890501453223e-17,6.659198216727345576e-01,7.460233180694511024e-01,4.568075342815205097e-17
4.070458790497458991e-17,6.647563678493212391e-01,7.470602193958516546e-01,4.574424532267245837e-17
4.063319152061755529e-17,6.635903764074337907e-01,7.480961250664518447e-01,4.580767625085841445e-17
4.056164535079288554e-17,6.624219387832227524e-01,7.491309465098050513e-01,4.587104078927299038e-17
4.048995445969537470e-17,6.612511376812654218e-01,7.501646038805297456e-01,4.593433404879664549e-17
4.041812342963795752e-17,6.600780479364112274e-01,7.511970251754575001e-01,4.599755162050688870e-17
4.034615640861649071e-17,6.589027372905731372e-01,7.522281454392609756e-01,4.606068952703702879e-17
4.027405715318091651e-17,6.577252670928676048e-01,7.532579060505213420e-01,4.612374417886043050e-17
4.020182906707633840e-17,6.565456929306705547e-01,7.542862540800976401e-01,4.618671233500193801e-17
4.012947523607169841e-17,6.553640651984131704e-01,7.553131417144879345e-01,4.624959106772894164e-17
4.005699845935228739e-17,6.541804296102603500e-01,7.563385257376059601e-01,4.631237773081935541e-17
3.998440127781535974e-17,6.529948276622133951e-01,7.573623670650636575e-01,4.637506993104465279e-17
3.991168599957444414e-17,6.518072970486268325e-01,7.583846303256436272e-01,4.643766550254240750e-17
3.983885472294766853e-17,6.506178720376362135e-01,7.594052834851875433e-01,4.650016248378616498e-17
3.976590935717854771e-17,6.494265838095543142e-01,7.604242975086027423e-01,4.656255909688925127e-17
3.969285164111275209e-17,6.482334607618859268e-01,7.614416460561298505e-01,4.662485372900656368e-17
3.961968316003255352e-17,6.470385287842554956e-01,7.624573052104007820e-01,4.668704491562169585e-17
3.954640536083078665e-17,6.458418115062161124e-01,7.634712532311672684e-01,4.674913132552836966e-17
3.947301956568795292e-17,6.446433305206138442e-01,7.644834703348991622e-01,4.681111174733473841e-17
3.939952698440015666e-17,6.434431055849186842e-01,7.654939384967298643e-01,4.687298507733605561e-17
3.932592872549106144e-17,6.422411548026958350e-01,7.665026412724874616e-01,4.693475030861718400e-17
3.925222580622763791e-17,6.410374947871756435e-01,7.675095636387743170e-01,4.699640652126033572e-17
3.917841916164788184e-17,6.398321408086874440e-01,7.685146918492657964e-01,4.705795287354588975e-17
3.910450965269797597e-17,6.386251069275493686e-01,7.695180133055860017e-01,4.711938859404581161e-17
3.903049807356670578e-17,6.374164061138486437e-01,7.705195164412808051e-01,4.718071297451904880e-17
3.895638515829627415e-17,6.362060503554041180e-01,7.715191906175613568e-01,4.724192536352766159e-17
3.888217158674091904e-17,6.349940507550780877e-01,7.725170260296256863e-01,4.730302516070068258e-17
3.880785798993763876e-17,6.337804176184869132e-01,7.735130136224834807e-01,4.736401181157987209e-17
3.873344495494703695e-17,6.325651605330576688e-01,7.745071450153232506e-01,4.742488480298852538e-17
3.865893302921648139e-17,6.313482884392844774e-01,7.754994124335530259e-01,4.748564365887019432e-17
3.858432272451277287e-17,6.301298096949533578e-01,7.764898086477386441e-01,4.754628793654969632e-17
3.850961452046673757e-17,6.289097321330302526e-01,7.774783269187380830e-01,4.760681722337360220e-17
3.843480886776800895e-17,6.276880631138352928e-01,7.784649609484051158e-01,4.766723113369168459e-17
3.835990619104457959e-17,6.264648095720699583e-01,7.794497048352960755e-01,4.772752930614472788e-17
3.828490689145811047e-17,6.252399780592012846e-01,7.804325530348728002e-01,4.778771140122769992e-17
3.820981134904310073e-17,6.240135747816637490e-01,7.814135003237460131e-01,4.784777709910023770e-17
3.813461992481522320e-17,6.227856056352906178e-01,7.823925417675479110e-01,4.790772609761946867e-17
3.805933296267148083e-17,6.215560762363462333e-01,7.833696726920676978e-01,4.796755811057252471e-17
3.798395079110284832e-17,6.203249919494951969e-01,7.843448886573167744e-01,4.802727286608850351e-17
3.790847372473778326e-17,6.190923579130103160e-01,7.853181854342283774e-01,4.808687010521177048e-17
3.783290206573340085e-17,6.178581790614916525e-01,7.862895589837229915e-01,4.814634958062001663e-17
3.775723610502928201e-17,6.166224601463432542e-01,7.872590054378999502e-01,4.820571105547264491e-17
3.768147612347744881e-17,6.153852057542266163e-01,7.882265210831389535e-01,4.826495430237599426e-17
3.760562239286079012e-17,6.141464203236931541e-01,7.891921023449193218e-01,4.832407910245379028e-17
3.752967517681087040e-17,6.129061081601731020e-01,7.901557457741796853e-01,4.838308524451194490e-17
3.745363473163516133e-17,6.116642734494850409e-01,7.911174480350648963e-01,4.844197252428823874e-17
3.737750130706244755e-17,6.104209202700096037e-01,7.920772058939169469e-01,4.850074074377822098e-17
3.730127514691472663e-17,6.091760526036621437e-01,7.930350162093854349e-01,4.855938971062965999e-17
3.722495648971260433e-17,6.079296743457798247e-01,7.939908759235424496e-01,4.861791923759847584e-17
3.714854556922098915e-17,6.066817893140332707e-01,7.949447820539002896e-01,4.867632914205996700e-17
3.707204261494075602e-17,6.054324012564562540e-01,7.958967316862416430e-01,4.873461924556978463e-17
