accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
4.186956668354224753e-01,-1.199522188556078480e-15,9.794799592468642402e+00
4.186985378450062134e-01,-1.199522188573755275e-15,9.794799082104598043e+00
4.187011216730417429e-01,-1.199522188591425562e-15,9.794798571922441965e+00
4.187034470377168360e-01,-1.199522188609089736e-15,9.794798061924762322e+00
4.187055397854008709e-01,-1.199522188626747401e-15,9.794797552114113515e+00
4.187074231778264433e-01,-1.199522188644397966e-15,9.794797042493016193e+00
4.187091181505533388e-01,-1.199522188662042221e-15,9.794796533063967914e+00
4.187106435455860143e-01,-1.199522188679679376e-15,9.794796023829428933e+00
4.187120163207283530e-01,-1.199522188697310023e-15,9.794795514791847069e+00
4.187132517380044439e-01,-1.199522188714933570e-15,9.794795005953639944e+00
4.187143635332364888e-01,-1.199522188732550412e-15,9.794794497317207416e+00
4.187153640686644973e-01,-1.199522188750159365e-15,9.794793988884931579e+00
4.187162644703049663e-01,-1.199522188767762007e-15,9.794793480659183871e+00
4.187170747515731595e-01,-1.199522188785357352e-15,9.794792972642314410e+00
4.187178039245431638e-01,-1.199522188802944809e-15,9.794792464836657331e+00
4.187184601000816797e-01,-1.199522188820525363e-15,9.794791957244544989e+00
4.187190505779697092e-01,-1.199522188838098423e-15,9.794791449868291977e+00
4.187195819280098985e-01,-1.199522188855663792e-15,9.794790942710204007e+00
4.187200600630254232e-01,-1.199522188873221666e-15,9.794790435772579684e+00
4.187204903045571025e-01,-1.199522188890771849e-15,9.794789929057705180e+00
4.187208774419924340e-01,-1.199522188908314341e-15,9.794789422567863113e+00
4.187212257857801379e-01,-1.199522188925848746e-15,9.794788916305327220e+00
4.187215392153247895e-01,-1.199522188943375066e-15,9.794788410272365908e+00
4.187218212220905067e-01,-1.199522188960893695e-15,9.794787904471242257e+00
4.187220749483954729e-01,-1.199522188978404435e-15,9.794787398904214015e+00
4.187223032223265085e-01,-1.199522188995906694e-15,9.794786893573531827e+00
4.187225085891619347e-01,-1.199522189013400868e-15,9.794786388481444561e+00
4.187226933396528405e-01,-1.199522189030886759e-15,9.794785883630193979e+00
4.187228595354752225e-01,-1.199522189048364170e-15,9.794785379022020066e+00
4.187230090321379938e-01,-1.199522189065833100e-15,9.794784874659161034e+00
4.187231434995997148e-01,-1.199522189083293353e-15,9.794784370543846208e+00
4.187232644408230287e-01,-1.199522189100745125e-15,9.794783866678308470e+00
4.187233732084748583e-01,-1.199522189118188418e-15,9.794783363064775372e+00
4.187234710199559951e-01,-1.199522189135622638e-15,9.794782859705465583e+00
4.187235589709271677e-01,-1.199522189153048181e-15,9.794782356602604878e+00
4.187236380474835817e-01,-1.199522189170464652e-15,9.794781853758410151e+00
4.187237091371113218e-01,-1.199522189187872051e-15,9.794781351175096518e+00
4.187237730385477974e-01,-1.199522189205270773e-15,9.794780848854884425e+00
4.187238304706576986e-01,-1.199522189222660423e-15,9.794780346799980109e+00
4.187238820804189410e-01,-1.199522189240040212e-15,9.794779845012593356e+00
4.187239284501123593e-01,-1.199522189257410929e-15,9.794779343494933954e+00
4.187239701037910877e-01,-1.199522189274772574e-15,9.794778842249211692e+00
4.187240075131030137e-01,-1.199522189292124359e-15,9.794778341277623923e+00
4.187240411025317521e-01,-1.199522189309467071e-15,9.794777840582380435e+00
4.187240712541130949e-01,-1.199522189326799726e-15,9.794777340165676804e+00
4.187240983116791715e-01,-1.199522189344123111e-15,9.794776840029713938e+00
4.187241225846795589e-01,-1.199522189361436242e-15,9.794776340176687413e+00
4.187241443516191430e-01,-1.199522189378740103e-15,9.794775840608799911e+00
4.187241638631526985e-01,-1.199522189396033709e-15,9.794775341328238127e+00
4.187241813448697170e-01,-1.199522189413317257e-15,9.794774842337195864e+00
4.187241969998013458e-01,-1.199522189430590944e-15,9.794774343637870473e+00
4.187242110106756954e-01,-1.199522189447854376e-15,9.794773845232445098e+00
4.187242235419486591e-01,-1.199522189465107750e-15,9.794773347123111762e+00
4.187242347416306743e-01,-1.199522189482350672e-15,9.794772849312055385e+00
4.187242447429315173e-01,-1.199522189499583338e-15,9.794772351801459109e+00
4.187242536657404535e-01,-1.199522189516805355e-15,9.794771854593511407e+00
4.187242616179581156e-01,-1.199522189534016920e-15,9.794771357690390090e+00
4.187242686966952676e-01,-1.199522189551218229e-15,9.794770861094280079e+00
4.187242749893521632e-01,-1.199522189568408494e-15,9.794770364807357410e+00
4.187242805745892138e-01,-1.199522189585588307e-15,9.794769868831803450e+00
4.187242855232012340e-01,-1.199522189602756878e-15,9.794769373169788906e+00
4.187242898989039230e-01,-1.199522189619914998e-15,9.794768877823495146e+00
4.187242937590415215e-01,-1.199522189637061678e-15,9.794768382795089323e+00
4.187242971552243564e-01,-1.199522189654197906e-15,9.794767888086751029e+00
4.187243001339022164e-01,-1.199522189671322499e-15,9.794767393700642089e+00
4.187243027368799941e-01,-1.199522189688436245e-15,9.794766899638940316e+00
4.187243050017825929e-01,-1.199522189705538355e-15,9.794766405903803985e+00
4.187243069624726477e-01,-1.199522189722629421e-15,9.794765912497407356e+00
4.187243086494268907e-01,-1.199522189739708851e-15,9.794765419421910480e+00
4.187243100900748805e-01,-1.199522189756777237e-15,9.794764926679480510e+00
4.187243113091034252e-01,-1.199522189773833593e-15,9.794764434272275722e+00
4.187243123287309743e-01,-1.199522189790878313e-15,9.794763942202452611e+00
4.187243131689545317e-01,-1.199522189807911398e-15,9.794763450472178334e+00
4.187243138477716453e-01,-1.199522189824933044e-15,9.794762959083607612e+00
4.187243143813806356e-01,-1.199522189841942463e-15,9.794762468038891612e+00
4.187243147843600632e-01,-1.199522189858939852e-15,9.794761977340186831e+00
4.187243150698313210e-01,-1.199522189875925210e-15,9.794761486989646215e+00
4.187243152496036847e-01,-1.199522189892898933e-15,9.794760996989422708e+00
4.187243153343058744e-01,-1.199522189909859837e-15,9.794760507341662148e+00
4.187243153335043488e-01,-1.199522189926809105e-15,9.794760018048515704e+00
4.187243152558089432e-01,-1.199522189943745752e-15,9.794759529112127439e+00
4.187243151089691251e-01,-1.199522189960669974e-15,9.794759040534641414e+00
4.187243148999594267e-01,-1.199522189977581968e-15,9.794758552318203471e+00
4.187243146350575485e-01,-1.199522189994481144e-15,9.794758064464952341e+00
4.187243143199135820e-01,-1.199522190011367895e-15,9.794757576977032087e+00
4.187243139596129593e-01,-1.199522190028242024e-15,9.794757089856576115e+00
4.187243135587331300e-01,-1.199522190045103334e-15,9.794756603105726711e+00
4.187243131213938541e-01,-1.199522190061951431e-15,9.794756116726610173e+00
4.187243126513034430e-01,-1.199522190078787103e-15,9.794755630721370565e+00
4.187243121517995048e-01,-1.199522190095609562e-15,9.794755145092132409e+00
