ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
9.994730328046541601e-01,3.246007850062562067e-02,1.224646799147353207e-16
9.994559085074922189e-01,3.298313128651431114e-02,1.224646799147353207e-16
9.994385095914879447e-01,3.350620159829081901e-02,1.224646799147353207e-16
9.994208361101365456e-01,3.402928663542092308e-02,1.224646799147353207e-16
9.994028881133858455e-01,3.455238386310271331e-02,1.224646799147353207e-16
9.993846656478738710e-01,3.507549098569200108e-02,1.224646799147353207e-16
9.993661687571548935e-01,3.559860592278510372e-02,1.224646799147353207e-16
9.993473974819142569e-01,3.612172678769382667e-02,1.224646799147353207e-16
9.993283518601716597e-01,3.664485186807245332e-02,1.224646799147353207e-16
9.993090319274731126e-01,3.716797960848283733e-02,1.224646799147353207e-16
9.992894377170722375e-01,3.769110859470237163e-02,1.224646799147353207e-16
9.992695692601005764e-01,3.821423753960218744e-02,1.224646799147353207e-16
9.992494265857272406e-01,3.873736527043646072e-02,1.224646799147353207e-16
9.992290097213094580e-01,3.926049071740386753e-02,1.224646799147353207e-16
9.992083186925317939e-01,3.978361290335221540e-02,1.224646799147353207e-16
9.991873535235384907e-01,4.030673093451330596e-02,1.224646799147353207e-16
9.991661142370549253e-01,4.082984399216388338e-02,1.224646799147353207e-16
9.991446008545020740e-01,4.135295132512112337e-02,1.224646799147353207e-16
9.991228133961022051e-01,4.187605224298764084e-02,1.224646799147353207e-16
9.991007518809785770e-01,4.239914611007347678e-02,1.224646799147353207e-16
9.990784163272458107e-01,4.292223233992472492e-02,1.224646799147353207e-16
9.990558067520962648e-01,4.344531039039951220e-02,1.224646799147353207e-16
9.990329231718779734e-01,4.396837975923707786e-02,1.224646799147353207e-16
9.990097656021685868e-01,4.449143998006949846e-02,1.224646799147353207e-16
9.989863340578424289e-01,4.501449061883228825e-02,1.224646799147353207e-16
9.989626285531332250e-01,4.553753127053410815e-02,1.224646799147353207e-16
9.989386491016921665e-01,4.606056155634956351e-02,1.224646799147353207e-16
9.989143957166414234e-01,4.658358112100257492e-02,1.224646799147353207e-16
9.988898684106231052e-01,4.710658963041133851e-02,1.224646799147353207e-16
9.988650671958450022e-01,4.762958676956955545e-02,1.224646799147353207e-16
9.988399920841225521e-01,4.815257224063831942e-02,1.224646799147353207e-16
9.988146430869174752e-01,4.867554576123009347e-02,1.224646799147353207e-16
9.987890202153733021e-01,4.919850706286384850e-02,1.224646799147353207e-16
9.987631234803481250e-01,4.972145588957407186e-02,1.224646799147353207e-16
9.987369528924450179e-01,5.024439199665986511e-02,1.224646799147353207e-16
9.987105084620394591e-01,5.076731514955862973e-02,1.224646799147353207e-16
9.986837901993048661e-01,5.129022512283268331e-02,1.224646799147353207e-16
9.986567981142360217e-01,5.181312169925654521e-02,1.224646799147353207e-16
9.986295322166708344e-01,5.233600466899648862e-02,1.224646799147353207e-16
9.986019925163094335e-01,5.285887382887163866e-02,1.224646799147353207e-16
9.985741790227331549e-01,5.338172898168894870e-02,1.224646799147353207e-16
9.985460917454201946e-01,5.390456993564438776e-02,1.224646799147353207e-16
9.985177306937618180e-01,5.442739650378511373e-02,1.224646799147353207e-16
9.984890958770752389e-01,5.495020850352432679e-02,1.224646799147353207e-16
9.984601873046176079e-01,5.547300575620467411e-02,1.224646799147353207e-16
9.984310049855967817e-01,5.599578808670633429e-02,1.224646799147353207e-16
9.984015489291823142e-01,5.651855532309348062e-02,1.224646799147353207e-16
9.983718191445156709e-01,5.704130729629579982e-02,1.224646799147353207e-16
9.983418156407187771e-01,5.756404383982312301e-02,1.224646799147353207e-16
9.983115384269023451e-01,5.808676478950732663e-02,1.224646799147353207e-16
9.982809875121734233e-01,5.860946998327068447e-02,1.224646799147353207e-16
9.982501629056423909e-01,5.913215926091727748e-02,1.224646799147353207e-16
9.982190646164290637e-01,5.965483246394504002e-02,1.224646799147353207e-16
9.981876926536688011e-01,6.017748943537717249e-02,1.224646799147353207e-16
9.981560470265170570e-01,6.070013001960988114e-02,1.224646799147353207e-16
9.981241277441549320e-01,6.122275406227577210e-02,1.224646799147353207e-16
9.980919348157932802e-01,6.174536141012001988e-02,1.224646799147353207e-16
9.980594682506764848e-01,6.226795191089057324e-02,1.224646799147353207e-16
9.980267280580864542e-01,6.279052541323745795e-02,1.224646799147353207e-16
9.979937142473457312e-01,6.331308176662338305e-02,1.224646799147353207e-16
9.979604268278209345e-01,6.383562082124343007e-02,1.224646799147353207e-16
9.979268658089246458e-01,6.435814242795144524e-02,1.224646799147353207e-16
9.978930312001190739e-01,6.488064643819529964e-02,1.224646799147353207e-16
9.978589230109176089e-01,6.540313270395764489e-02,1.224646799147353207e-16
9.978245412508872647e-01,6.592560107770341349e-02,1.224646799147353207e-16
9.977898859296501222e-01,6.644805141233142698e-02,1.224646799147353207e-16
9.977549570568858828e-01,6.697048356113213807e-02,1.224646799147353207e-16
9.977197546423327568e-01,6.749289737774875897e-02,1.224646799147353207e-16
9.976842786957893505e-01,6.801529271614230321e-02,1.224646799147353207e-16
9.976485292271157768e-01,6.853766943056077698e-02,1.224646799147353207e-16
9.976125062462347648e-01,6.906002737551057702e-02,1.224646799147353207e-16
9.975762097631331038e-01,6.958236640573171872e-02,1.224646799147353207e-16
9.975396397878624200e-01,7.010468637617454923e-02,1.224646799147353207e-16
9.975027963305399537e-01,7.062698714197913896e-02,1.224646799147353207e-16
9.974656794013498917e-01,7.114926855845765674e-02,1.224646799147353207e-16
9.974282890105433674e-01,7.167153048107700875e-02,1.224646799147353207e-16
9.973906251684399038e-01,7.219377276544385047e-02,1.224646799147353207e-16
9.973526878854276356e-01,7.271599526729198570e-02,1.224646799147353207e-16
9.973144771719636426e-01,7.323819784246950182e-02,1.224646799147353207e-16
9.972759930385752813e-01,7.376038034692818102e-02,1.224646799147353207e-16
9.972372354958597418e-01,7.428254263671360547e-02,1.224646799147353207e-16
9.971982045544850459e-01,7.480468456795644205e-02,1.224646799147353207e-16
9.971589002251901590e-01,7.532680599686460143e-02,1.224646799147353207e-16
9.971193225187855447e-01,7.584890677971589668e-02,1.224646799147353207e-16
9.970794714461534980e-01,7.637098677285190929e-02,1.224646799147353207e-16
9.970393470182481455e-01,7.689304583267199400e-02,1.224646799147353207e-16
9.969989492460958891e-01,7.741508381562828278e-02,1.224646799147353207e-16
9.969582781407957395e-01,7.793710057822099413e-02,1.224646799147353207e-16
9.969173337135195379e-01,7.845909597699388116e-02,1.224646799147353207e-16
9.968761159755118451e-01,7.898106986853110911e-02,1.224646799147353207e-16
9.968346249380906077e-01,7.950302210945359160e-02,1.224646799147353207e-16
9.967928606126467139e-01,8.002495255641561833e-02,1.224646799147353207e-16
9.967508230106448819e-01,8.054686106610231544e-02,1.224646799147353207e-16
9.967085121436231043e-01,8.106874749522786916e-02,1.224646799147353207e-16
9.966659280231932039e-01,8.159061170053200085e-02,1.224646799147353207e-16
9.966230706610407220e-01,8.211245353877918984e-02,1.224646799147353207e-16
9.965799400689251408e-01,8.263427286675639749e-02,1.224646799147353207e-16
9.965365362586798836e-01,8.315606954127120753e-02,1.224646799147353207e-16
9.964928592422125364e-01,8.367784341915111834e-02,1.224646799147353207e-16
9.964489090315047370e-01,8.419959435724118368e-02,1.224646799147353207e-16
9.964046856386123974e-01,8.472132221240408212e-02,1.224646799147353207e-16
9.963601890756657031e-01,8.524302684151810472e-02,1.224646799147353207e-16
9.963154193548690030e-01,8.576470810147654444e-02,1.224646799147353207e-16
9.962703764885013635e-01,8.628636584918730756e-02,1.224646799147353207e-16
9.962250604889159034e-01,8.680799994157162303e-02,1.224646799147353207e-16
9.961794713685403480e-01,8.732961023556361224e-02,1.224646799147353207e-16
9.961336091398770298e-01,8.785119658810926213e-02,1.224646799147353207e-16
9.960874738155026664e-01,8.837275885616664717e-02,1.224646799147353207e-16
9.960410654080685822e-01,8.889429689670509671e-02,1.224646799147353207e-16
9.959943839303007085e-01,8.941581056670436234e-02,1.224646799147353207e-16
9.959474293949994728e-01,8.993729972315506194e-02,1.224646799147353207e-16
9.959002018150399094e-01,9.045876422305743070e-02,1.224646799147353207e-16
9.958527012033719927e-01,9.098020392342200113e-02,1.224646799147353207e-16
9.958049275730200822e-01,9.150161868126834019e-02,1.224646799147353207e-16
9.957568809370832552e-01,9.202300835362568765e-02,1.224646799147353207e-16
9.957085613087351961e-01,9.254437279753220669e-02,1.224646799147353207e-16
9.956599687012246402e-01,9.306571187003494228e-02,1.224646799147353207e-16
9.956111031278745971e-01,9.358702542818987669e-02,1.224646799147353207e-16
9.955619646020830160e-01,9.410831332906134661e-02,1.224646799147353207e-16
9.955125531373225645e-01,9.462957542972223746e-02,1.224646799147353207e-16
9.954628687471406279e-01,9.515081158725387234e-02,1.224646799147353207e-16
9.954129114451593097e-01,9.567202165874577613e-02,1.224646799147353207e-16
9.953626812450753203e-01,9.619320550129595304e-02,1.224646799147353207e-16
9.953121781606604213e-01,9.671436297201026211e-02,1.224646799147353207e-16
9.952614022057608700e-01,9.723549392800269475e-02,1.224646799147353207e-16
9.952103533942978641e-01,9.775659822639513885e-02,1.224646799147353207e-16
9.951590317402669861e-01,9.827767572431793386e-02,1.224646799147353207e-16
9.951074372577390914e-01,9.879872627890896875e-02,1.224646799147353207e-16
9.950555699608594207e-01,9.931974974731443140e-02,1.224646799147353207e-16
9.950034298638480434e-01,9.984074598668810085e-02,1.224646799147353207e-16
9.949510169809998583e-01,1.003617148541917359e-01,1.224646799147353207e-16
9.948983313266844819e-01,1.008826562069951999e-01,1.224646799147353207e-16
9.948453729153462488e-01,1.014035699022759335e-01,1.224646799147353207e-16
9.947921417615041006e-01,1.019244557972198428e-01,1.224646799147353207e-16
9.947386378797522521e-01,1.024453137490202309e-01,1.224646799147353207e-16
9.946848612847589699e-01,1.029661436148785053e-01,1.224646799147353207e-16
9.946308119912677936e-01,1.034869452520039840e-01,1.224646799147353207e-16
9.945764900140967590e-01,1.040077185176141727e-01,1.224646799147353207e-16
9.945218953681387308e-01,1.045284632689343629e-01,1.224646799147353207e-16
9.944670280683611807e-01,1.050491793631976589e-01,1.224646799147353207e-16
9.944118881298066315e-01,1.055698666576454503e-01,1.224646799147353207e-16
9.943564755675918798e-01,1.060905250095270647e-01,1.224646799147353207e-16
9.943007903969087735e-01,1.066111542760999342e-01,1.224646799147353207e-16
9.942448326330239894e-01,1.071317543146297069e-01,1.224646799147353207e-16
9.941886022912784782e-01,1.076523249823898298e-01,1.224646799147353207e-16
9.941320993870883527e-01,1.081728661366620214e-01,1.224646799147353207e-16
9.940753239359443327e-01,1.086933776347363129e-01,1.224646799147353207e-16
9.940182759534116341e-01,1.092138593339106178e-01,1.224646799147353207e-16
9.939609554551304127e-01,1.097343110914915099e-01,1.224646799147353207e-16
9.939033624568154313e-01,1.102547327647937364e-01,1.224646799147353207e-16
9.938454969742562817e-01,1.107751242111400664e-01,1.224646799147353207e-16
9.937873590233170518e-01,1.112954852878618173e-01,1.224646799147353207e-16
9.937289486199366584e-01,1.118158158522987999e-01,1.224646799147353207e-16
9.936702657801287364e-01,1.123361157617988049e-01,1.224646799147353207e-16
9.936113105199815276e-01,1.128563848737186431e-01,1.224646799147353207e-16
9.935520828556578810e-01,1.133766230454231472e-01,1.224646799147353207e-16
9.934925828033954742e-01,1.138968301342856287e-01,1.224646799147353207e-16
9.934328103795067033e-01,1.144170059976883785e-01,1.224646799147353207e-16
9.933727656003784601e-01,1.149371504930219862e-01,1.224646799147353207e-16
9.933124484824723543e-01,1.154572634776856871e-01,1.224646799147353207e-16
9.932518590423247140e-01,1.159773448090873349e-01,1.224646799147353207e-16
9.931909972965464739e-01,1.164973943446434568e-01,1.224646799147353207e-16
9.931298632618232869e-01,1.170174119417795172e-01,1.224646799147353207e-16
9.930684569549154128e-01,1.175373974579295294e-01,1.224646799147353207e-16
9.930067783926577185e-01,1.180573507505365133e-01,1.224646799147353207e-16
9.929448275919596778e-01,1.185772716770521068e-01,1.224646799147353207e-16
9.928826045698055935e-01,1.190971600949368159e-01,1.224646799147353207e-16
9.928201093432542645e-01,1.196170158616605000e-01,1.224646799147353207e-16
9.927573419294389856e-01,1.201368388347015398e-01,1.224646799147353207e-16
9.926943023455678805e-01,1.206566288715475166e-01,1.224646799147353207e-16
9.926309906089235691e-01,1.211763858296948104e-01,1.224646799147353207e-16
9.925674067368635001e-01,1.216961095666491133e-01,1.224646799147353207e-16
9.925035507468192852e-01,1.222157999399252210e-01,1.224646799147353207e-16
9.924394226562976984e-01,1.227354568070470608e-01,1.224646799147353207e-16
9.923750224828795652e-01,1.232550800255477613e-01,1.224646799147353207e-16
9.923103502442207624e-01,1.237746694529694436e-01,1.224646799147353207e-16
9.922454059580515517e-01,1.242942249468637350e-01,1.224646799147353207e-16
9.921801896421765798e-01,1.248137463647917417e-01,1.224646799147353207e-16
9.921147013144754334e-01,1.253332335643235207e-01,1.224646799147353207e-16
9.920489409929019731e-01,1.258526864030387049e-01,1.224646799147353207e-16
9.919829086954849995e-01,1.263721047385261420e-01,1.224646799147353207e-16
9.919166044403274762e-01,1.268914884283845468e-01,1.224646799147353207e-16
9.918500282456071959e-01,1.274108373302219599e-01,1.224646799147353207e-16
9.917831801295762251e-01,1.279301513016559144e-01,1.224646799147353207e-16
9.917160601105614592e-01,1.284494302003133248e-01,1.224646799147353207e-16
9.916486682069642900e-01,1.289686738838311808e-01,1.224646799147353207e-16
9.915810044372606047e-01,1.294878822098556315e-01,1.224646799147353207e-16
9.915130688200006759e-01,1.300070550360427624e-01,1.224646799147353207e-16
9.914448613738094940e-01,1.305261922200586511e-01,1.224646799147353207e-16
9.913763821173865454e-01,1.310452936195786455e-01,1.224646799147353207e-16
9.913076310695058124e-01,1.315643590922881689e-01,1.224646799147353207e-16
9.912386082490157735e-01,1.320833884958826920e-01,1.224646799147353207e-16
9.911693136748394029e-01,1.326023816880671502e-01,1.224646799147353207e-16
9.910997473659741708e-01,1.331213385265566096e-01,1.224646799147353207e-16
9.910299093414922655e-01,1.336402588690761006e-01,1.224646799147353207e-16
9.909597996205399273e-01,1.341591425733608955e-01,1.224646799147353207e-16
9.908894182223382252e-01,1.346779894971558700e-01,1.224646799147353207e-16
9.908187651661827244e-01,1.351967994982161969e-01,1.224646799147353207e-16
9.907478404714432640e-01,1.357155724343071523e-01,1.224646799147353207e-16
9.906766441575641791e-01,1.362343081632042263e-01,1.224646799147353207e-16
9.906051762440645225e-01,1.367530065426930397e-01,1.224646799147353207e-16
9.905334367505375104e-01,1.372716674305695106e-01,1.224646799147353207e-16
9.904614256966509656e-01,1.377902906846398268e-01,1.224646799147353207e-16
9.903891431021470959e-01,1.383088761627204455e-01,1.224646799147353207e-16
9.903165889868426053e-01,1.388274237226384822e-01,1.224646799147353207e-16
