ref_gps_lat (deg),ref_gps_lon (deg),ref_gps_alt (m),ref_gps_vN (m/s),ref_gps_vE (m/s),ref_gps_vD (m/s)
3.200015444389853059e+01,1.200001049714162491e+02,-2.547265342226522557e-15,1.919669145683953193e+00,3.509254959547544850e+00,4.898587196589412829e-16
3.200015614516151174e+01,1.200001087041034395e+02,-2.596251214192417563e-15,1.845755839676882504e+00,3.548687839229971885e+00,4.898587196589412829e-16
3.200015777943698936e+01,1.200001124777819399e+02,-2.645237086158312569e-15,1.771032924155728772e+00,3.586564147140883119e+00,4.898587196589412829e-16
3.200015934600809686e+01,1.200001162907964556e+02,-2.694222958124207575e-15,1.695533175060854880e+00,3.622867269479804531e+00,4.898587196589412829e-16
3.200016084418769680e+01,1.200001201414744685e+02,-2.743208830090102581e-15,1.619289709077504247e+00,3.657581282497450292e+00,4.898587196589412829e-16
3.200016227331862950e+01,1.200001240281269475e+02,-2.792194702055997587e-15,1.542335969109726701e+00,3.690690959480400490e+00,4.898587196589412829e-16
3.200016363277403997e+01,1.200001279490490731e+02,-2.841180574021892593e-15,1.464705709611217488e+00,3.722181777430046523e+00,4.898587196589412829e-16
3.200016492195761231e+01,1.200001319025210194e+02,-2.890166445987787598e-15,1.386432981779496698e+00,3.752039923432853641e+00,4.898587196589412829e-16
3.200016614030388951e+01,1.200001358868086356e+02,-2.939152317953682604e-15,1.307552118619928816e+00,3.780252300719164626e+00,4.898587196589412829e-16
3.200016728727844395e+01,1.200001399001643136e+02,-2.988138189919577610e-15,1.228097719886132699e+00,3.806806534407873421e+00,4.898587196589412829e-16
3.200016836237818296e+01,1.200001439408275843e+02,-3.037124061885472616e-15,1.148104636903385378e+00,3.831690976934458703e+00,4.898587196589412829e-16
3.200016936513152643e+01,1.200001480070261692e+02,-3.086109933851367622e-15,1.067607957281679232e+00,3.854894713159989994e+00,4.898587196589412829e-16
3.200017029509864841e+01,1.200001520969764357e+02,-3.135095805817262628e-15,9.866429895251366267e-01,3.876407565158867641e+00,4.898587196589412829e-16
3.200017115187161920e+01,1.200001562088844480e+02,-3.184081677783157634e-15,9.052452475445326163e-01,3.896220096683199241e+00,4.898587196589412829e-16
3.200017193507463986e+01,1.200001603409465218e+02,-3.233067549749052640e-15,8.234504350797203776e-01,3.914323617301847413e+00,4.898587196589412829e-16
3.200017264436416298e+01,1.200001644913502332e+02,-3.282053421714947646e-15,7.412944300387909191e-01,3.930710186212341917e+00,4.898587196589412829e-16
3.200017327942907741e+01,1.200001686582750722e+02,-3.331039293680842651e-15,6.588132687608364568e-01,3.945372615723977905e+00,4.898587196589412829e-16
3.200017383999082199e+01,1.200001728398932528e+02,-3.380025165646737657e-15,5.760431302092213768e-01,3.958304474410573093e+00,4.898587196589412829e-16
