accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
8.373969417303671614e-01,-1.199522190198658067e-15,9.794754932957648208e+00
8.374021077694505655e-01,-1.199522190233999036e-15,9.794753912597988332e+00
8.374067568823975183e-01,-1.199522190269326988e-15,9.794752892607338168e+00
8.374109407619547696e-01,-1.199522190304641727e-15,9.794751872990802966e+00
8.374147059315958375e-01,-1.199522190339943647e-15,9.794750853753431130e+00
8.374180942624481760e-01,-1.199522190375231762e-15,9.794749834900203567e+00
8.374211434385283592e-01,-1.199522190410506466e-15,9.794748816436054994e+00
8.374238873754520363e-01,-1.199522190445767760e-15,9.794747798365870395e+00
8.374263565972749346e-01,-1.199522190481014854e-15,9.794746780694485011e+00
8.374285785756490075e-01,-1.199522190516247946e-15,9.794745763426707441e+00
8.374305780350620454e-01,-1.199522190551467035e-15,9.794744746567298321e+00
8.374323772275543698e-01,-1.199522190586671728e-15,9.794743730120995195e+00
8.374339961799640575e-01,-1.199522190621862222e-15,9.794742714092496527e+00
8.374354529164463878e-01,-1.199522190657037727e-15,9.794741698486483017e+00
8.374367636587427555e-01,-1.199522190692198638e-15,9.794740683307610496e+00
8.374379430064219365e-01,-1.199522190727344560e-15,9.794739668560508150e+00
8.374390040990967732e-01,-1.199522190762475297e-15,9.794738654249789178e+00
8.374399587624208330e-01,-1.199522190797591046e-15,9.794737640380047239e+00
8.374408176394831926e-01,-1.199522190832691609e-15,9.794736626955861780e+00
8.374415903090657309e-01,-1.199522190867776001e-15,9.794735613981790934e+00
8.374422853920735488e-01,-1.199522190902845010e-15,9.794734601462383949e+00
8.374429106473225692e-01,-1.199522190937898044e-15,9.794733589402181195e+00
8.374434730577482444e-01,-1.199522190972935696e-15,9.794732577805708829e+00
8.374439789079943797e-01,-1.199522191007956387e-15,9.794731566677471690e+00
8.374444338542414989e-01,-1.199522191042961103e-15,9.794730556021981727e+00
8.374448429870536836e-01,-1.199522191077949451e-15,9.794729545843731344e+00
8.374452108879395507e-01,-1.199522191112920838e-15,9.794728536147207620e+00
8.374455416802589758e-01,-1.199522191147876054e-15,9.794727526936894080e+00
8.374458390750366688e-01,-1.199522191182813717e-15,9.794726518217254707e+00
8.374461064121963005e-01,-1.199522191217734617e-15,9.794725509992760593e+00
8.374463466976708181e-01,-1.199522191252638557e-15,9.794724502267872168e+00
8.374465626368008397e-01,-1.199522191287524353e-15,9.794723495047033879e+00
8.374467566643951644e-01,-1.199522191322393385e-15,9.794722488334706156e+00
8.374469309717821330e-01,-1.199522191357244274e-15,9.794721482135319235e+00
8.374470875311594842e-01,-1.199522191392077413e-15,9.794720476453317559e+00
8.374472281175057153e-01,-1.199522191426892409e-15,9.794719471293133140e+00
8.374473543283035282e-01,-1.199522191461689458e-15,9.794718466659192657e+00
8.374474676012886309e-01,-1.199522191496468166e-15,9.794717462555922793e+00
8.374475692304244046e-01,-1.199522191531228335e-15,9.794716458987741348e+00
8.374476603802791796e-01,-1.199522191565970164e-15,9.794715455959066119e+00
8.374477420989662191e-01,-1.199522191600693257e-15,9.794714453474307803e+00
8.374478153297885141e-01,-1.199522191635397024e-15,9.794713451537875315e+00
8.374478809217200670e-01,-1.199522191670082251e-15,9.794712450154177574e+00
8.374479396388393448e-01,-1.199522191704747758e-15,9.794711449327609287e+00
