gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-1.621454171796737139e-04,3.540626269680896814e-03,-8.747469765531812769e+00
-1.675521680243210034e-04,3.540415633621964674e-03,-8.772501294892299128e+00
-1.729740570761116873e-04,3.540196103112189154e-03,-8.795029668675910628e+00
-1.784095221890799057e-04,3.539967673787907179e-03,-8.815305202440562482e+00
-1.838571560512585563e-04,3.539730343778908599e-03,-8.833553180188387088e+00
-1.893156907052618784e-04,3.539484113282009067e-03,-8.849976357521310177e+00
-1.947839836161682466e-04,3.539228984191614656e-03,-8.864757214481066683e+00
-2.002610051320591919e-04,3.538964959780828076e-03,-8.878059983105234920e+00
-2.057458271980209803e-04,3.538692044427220549e-03,-8.890032472227629157e+00
-2.112376131983272087e-04,3.538410243377978874e-03,-8.900807709798700174e+00
-2.167356088140436033e-04,3.538119562549656323e-03,-8.910505420973853674e+00
-2.222391337945654310e-04,3.537820008358245200e-03,-8.919233358392961719e+00
-2.277475745517365503e-04,3.537511587575745131e-03,-8.927088499431917512e+00
-2.332603774943397146e-04,3.537194307209819231e-03,-8.934158123729030621e+00
-2.387770430289495383e-04,3.536868174403519707e-03,-8.940520782958785162e+00
-2.442971201605460461e-04,3.536533196352378058e-03,-8.946247173628224303e+00
-2.498202016329395016e-04,3.536189380236512327e-03,-8.951400922593693466e+00
-2.553459195550450943e-04,3.535836733165651554e-03,-8.956039294025908148e+00
-2.608739414644524121e-04,3.535475262135238592e-03,-8.960213825678525978e+00
-2.664039667845636097e-04,3.535104973991993679e-03,-8.963970901529835444e+00
-2.719357236359704858e-04,3.534725875407547947e-03,-8.967352267160306312e+00
-2.774689659666522141e-04,3.534337972858896549e-03,-8.970395493592368652e+00
-2.830034709691238220e-04,3.533941272614595907e-03,-8.973134394746216103e+00
-2.885390367558511669e-04,3.533535780725804293e-03,-8.975599403150031463e+00
-2.940754802671109985e-04,3.533121503021307078e-03,-8.977817908079181564e+00
-2.996126353880586724e-04,3.532698445105885657e-03,-8.979814559881504010e+00
-3.051503512540895799e-04,3.532266612361382573e-03,-8.981611543870060999e+00
-3.106884907256664730e-04,3.531826009949970598e-03,-8.983228826826614721e+00
-3.162269290156715924e-04,3.531376642819180397e-03,-8.984684378854753461e+00
-3.217655524540333732e-04,3.530918515708305130e-03,-8.985994373047718753e+00
-3.273042573758992344e-04,3.530451633155857159e-03,-8.987173365189432772e+00
-3.328429491210106489e-04,3.529975999507824896e-03,-8.988234455485430985e+00
-3.383815411331495861e-04,3.529491618926469589e-03,-8.989189434120698152e+00
-3.439199541496574890e-04,3.528998495399502874e-03,-8.990048912261737968e+00
-3.494581154720221628e-04,3.528496632749470764e-03,-8.990822439958398249e+00
-3.549959583094174282e-04,3.527986034643204854e-03,-8.991518612255553933e+00
-3.605334211879087270e-04,3.527466704601251845e-03,-8.992145164693599924e+00
-3.660704474187538712e-04,3.526938646007175132e-03,-8.992709059258897852e+00
-3.716069846198919867e-04,3.526401862116680750e-03,-8.993216561739176385e+00
-3.771429842852963500e-04,3.525856356066483979e-03,-8.993673311343398424e+00
-3.826784013974127152e-04,3.525302130882907933e-03,-8.994084383359640000e+00
-3.882131940783651865e-04,3.524739189490154294e-03,-8.994454345547177709e+00
-3.937473232760598484e-04,3.524167534718240530e-03,-8.994787308889359068e+00
-3.992807524816911736e-04,3.523587169310580212e-03,-8.995086973271209985e+00
-4.048134474755117921e-04,3.522998095931204662e-03,-8.995356668589259641e+00
-4.103453760980421976e-04,3.522400317171625085e-03,-8.995599391750387142e+00
-4.158765080441662260e-04,3.521793835557312635e-03,-8.995817839970793983e+00
-4.214068146778376521e-04,3.521178653553840195e-03,-8.996014440745065954e+00
-4.269362688653212216e-04,3.520554773572655977e-03,-8.996191378818339857e+00
-4.324648448251258975e-04,3.519922197976524045e-03,-8.996350620461235792e+00
-4.379925179929549024e-04,3.519280929084623102e-03,-8.996493935317332102e+00
-4.435192649001682818e-04,3.518630969177329992e-03,-8.996622916065845743e+00
-4.490450630644154191e-04,3.517972320500698316e-03,-8.996738996118081033e+00
-4.545698908912091567e-04,3.517304985270637823e-03,-8.996843465544220209e+00
-4.600937275853526584e-04,3.516628965676814930e-03,-8.996937485407430657e+00
-4.656165530712349371e-04,3.515944263886296075e-03,-8.997022100664574751e+00
-4.711383479211025331e-04,3.515250882046923060e-03,-8.997098251776826316e+00
-4.766590932905150069e-04,3.514548822290466338e-03,-8.997166785159260272e+00
-4.821787708602594041e-04,3.513838086735548028e-03,-8.997228462585434627e+00
-4.876973627840851516e-04,3.513118677490351116e-03,-8.997283969651576285e+00
-4.932148516416670842e-04,3.512390596655137840e-03,-8.997333923394279509e+00
-4.987312203962854023e-04,3.511653846324575955e-03,-8.997378879146499031e+00
-5.042464523567397093e-04,3.510908428589894128e-03,-8.997419336707888959e+00
