ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
4.709944030471068244e-01,-1.199522189604143696e-15,9.794788296832189545e+00
4.709956533520756050e-01,-1.199522189630777021e-15,9.794787720113323104e+00
4.709967784897070020e-01,-1.199522189657404034e-15,9.794787143523324247e+00
4.709977909767694149e-01,-1.199522189684024737e-15,9.794786567063768601e+00
4.709987020783545919e-01,-1.199522189710639721e-15,9.794785990736224690e+00
4.709995219330451732e-01,-1.199522189737248591e-15,9.794785414542232616e+00
4.710002596655659124e-01,-1.199522189763850953e-15,9.794784838483325373e+00
4.710009234881696871e-01,-1.199522189790447004e-15,9.794784262561030630e+00
4.710015207918842872e-01,-1.199522189817036941e-15,9.794783686776856513e+00
4.710020582286349455e-01,-1.199522189843620370e-15,9.794783111132309372e+00
4.710025417851548823e-01,-1.199522189870196700e-15,9.794782535628874243e+00
4.710029768495041513e-01,-1.199522189896767113e-15,9.794781960268050369e+00
4.710033682709370839e-01,-1.199522189923330623e-15,9.794781385051305023e+00
4.710037204137834665e-01,-1.199522189949887428e-15,9.794780809980117908e+00
4.710040372059398073e-01,-1.199522189976437331e-15,9.794780235055956297e+00
4.710043221825137572e-01,-1.199522190002980726e-15,9.794779660280278577e+00
4.710045785251019690e-01,-1.199522190029517020e-15,9.794779085654544915e+00
4.710048090971423740e-01,-1.199522190056046413e-15,9.794778511180206593e+00
4.710050164757288993e-01,-1.199522190082568705e-15,9.794777936858714895e+00
4.710052029802471729e-01,-1.199522190109083898e-15,9.794777362691514000e+00
4.710053706981437438e-01,-1.199522190135591991e-15,9.794776788680044532e+00
4.710055215081213609e-01,-1.199522190162092787e-15,9.794776214825747118e+00
4.710056571010127202e-01,-1.199522190188586483e-15,9.794775641130062382e+00
4.710057789985674370e-01,-1.199522190215072488e-15,9.794775067594416740e+00
4.710058885703609088e-01,-1.199522190241551196e-15,9.794774494220247263e+00
4.710059870490108103e-01,-1.199522190268022410e-15,9.794773921008982143e+00
4.710060755438735813e-01,-1.199522190294486326e-15,9.794773347962051346e+00
4.710061550533705677e-01,-1.199522190320942355e-15,9.794772775080879512e+00
4.710062264760809803e-01,-1.199522190347390691e-15,9.794772202366891278e+00
4.710062906207268529e-01,-1.199522190373831140e-15,9.794771629821505954e+00
4.710063482151577441e-01,-1.199522190400264291e-15,9.794771057446155282e+00
4.710063999144392666e-01,-1.199522190426688962e-15,9.794770485242246139e+00
4.710064463081304886e-01,-1.199522190453105744e-15,9.794769913211206713e+00
4.710064879268346383e-01,-1.199522190479514835e-15,9.794769341354454539e+00
4.710065252480954423e-01,-1.199522190505915643e-15,9.794768769673401820e+00
4.710065587017022715e-01,-1.199522190532308365e-15,9.794768198169469642e+00
4.710065886744660979e-01,-1.199522190558692804e-15,9.794767626844066655e+00
4.710066155145170574e-01,-1.199522190585069157e-15,9.794767055698613945e+00
4.710066395351723001e-01,-1.199522190611436833e-15,9.794766484734518386e+00
4.710066610184181490e-01,-1.199522190637796423e-15,9.794765913953195735e+00
4.710066802180423173e-01,-1.199522190664147533e-15,9.794765343356056420e+00
4.710066973624538744e-01,-1.199522190690489768e-15,9.794764772944509090e+00
4.710067126572219931e-01,-1.199522190716823720e-15,9.794764202719969504e+00
4.710067262873583460e-01,-1.199522190743148797e-15,9.794763632683839205e+00
4.710067384193747930e-01,-1.199522190769465197e-15,9.794763062837530398e+00
4.710067492031313474e-01,-1.199522190795773116e-15,9.794762493182455287e+00
4.710067587735029537e-01,-1.199522190822071767e-15,9.794761923720013641e+00
4.710067672518774007e-01,-1.199522190848361740e-15,9.794761354451614110e+00
4.710067747475036315e-01,-1.199522190874642641e-15,9.794760785378665346e+00
4.710067813587063279e-01,-1.199522190900914470e-15,9.794760216502570671e+00
4.710067871739780365e-01,-1.199522190927177424e-15,9.794759647824736959e+00
4.710067922729624934e-01,-1.199522190953430715e-15,9.794759079346560426e+00
4.710067967273389167e-01,-1.199522190979674737e-15,9.794758511069453277e+00
4.710068006016194797e-01,-1.199522191005910081e-15,9.794757942994818833e+00
4.710068039538652385e-01,-1.199522191032135762e-15,9.794757375124053311e+00
4.710068068363312266e-01,-1.199522191058351582e-15,9.794756807458560033e+00
4.710068092960481012e-01,-1.199522191084558330e-15,9.794756239999744096e+00
4.710068113753425045e-01,-1.199522191110755415e-15,9.794755672749003494e+00
4.710068131123099633e-01,-1.199522191136942836e-15,9.794755105707737997e+00
4.710068145412361629e-01,-1.199522191163120594e-15,9.794754538877347372e+00
4.710068156929789196e-01,-1.199522191189288293e-15,9.794753972259227837e+00
4.710068165953100738e-01,-1.199522191215446526e-15,9.794753405854784489e+00
4.710068172732248537e-01,-1.199522191241594504e-15,9.794752839665408217e+00
4.710068177492197083e-01,-1.199522191267733016e-15,9.794752273692500566e+00
4.710068180435411644e-01,-1.199522191293861272e-15,9.794751707937457752e+00
4.710068181744118121e-01,-1.199522191319979471e-15,9.794751142401674215e+00
4.710068181582319213e-01,-1.199522191346087414e-15,9.794750577086546173e+00
4.710068180097626844e-01,-1.199522191372185102e-15,9.794750011993469840e+00
4.710068177422889746e-01,-1.199522191398272535e-15,9.794749447123837882e+00
4.710068173677675607e-01,-1.199522191424349910e-15,9.794748882479046515e+00
4.710068168969601676e-01,-1.199522191450416241e-15,9.794748318060483072e+00
4.710068163395524365e-01,-1.199522191476472908e-15,9.794747753869549101e+00
4.710068157042618942e-01,-1.199522191502518532e-15,9.794747189907630158e+00
