ref_pos_lat (deg),ref_pos_lon (deg),ref_pos_alt (m)
3.200001405963805468e+01,1.200000004724114433e+02,-1.910449006669869731e-16
3.200001432956622693e+01,1.200000004938580247e+02,-1.947188410644290246e-16
3.200001459946545879e+01,1.200000005158002381e+02,-1.983927814618710761e-16
3.200001486933509653e+01,1.200000005382382824e+02,-2.020667218593131276e-16
3.200001513917444385e+01,1.200000005611722287e+02,-2.057406622567551791e-16
3.200001540898286123e+01,1.200000005846022049e+02,-2.094146026541972305e-16
3.200001567875965947e+01,1.200000006085282394e+02,-2.130885430516392820e-16
3.200001594850417064e+01,1.200000006329504174e+02,-2.167624834490813335e-16
3.200001621821571973e+01,1.200000006578688243e+02,-2.204364238465233850e-16
3.200001648789364594e+01,1.200000006832834600e+02,-2.241103642439654611e-16
3.200001675753727426e+01,1.200000007091943530e+02,-2.277843046414075373e-16
3.200001702714594387e+01,1.200000007356015459e+02,-2.314582450388496134e-16
3.200001729671897266e+01,1.200000007625050245e+02,-2.351321854362916896e-16
3.200001756625570692e+01,1.200000007899047603e+02,-2.388061258337337657e-16
3.200001783575546455e+01,1.200000008178008244e+02,-2.424800662311758418e-16
3.200001810521758472e+01,1.200000008461931316e+02,-2.461540066286179180e-16
3.200001837464140664e+01,1.200000008750816676e+02,-2.498279470260599941e-16
3.200001864402625529e+01,1.200000009044664324e+02,-2.535018874235020703e-16
3.200001891337146986e+01,1.200000009343473693e+02,-2.571758278209441464e-16
3.200001918267637535e+01,1.200000009647244639e+02,-2.608497682183862225e-16
3.200001945194031094e+01,1.200000009955976168e+02,-2.645237086158282987e-16
3.200001972116260873e+01,1.200000010269668564e+02,-2.681976490132703748e-16
3.200001999034260791e+01,1.200000010588320833e+02,-2.718715894107124509e-16
3.200002025947963347e+01,1.200000010911932407e+02,-2.755455298081545271e-16
3.200002052857302459e+01,1.200000011240502857e+02,-2.792194702055966032e-16
3.200002079762212759e+01,1.200000011574031475e+02,-2.828934106030386794e-16
3.200002106662626034e+01,1.200000011912517550e+02,-2.865673510004807555e-16
3.200002133558476203e+01,1.200000012255960513e+02,-2.902412913979228316e-16
3.200002160449697186e+01,1.200000012604359512e+02,-2.939152317953649078e-16
3.200002187336222903e+01,1.200000012957713977e+02,-2.975891721928069839e-16
3.200002214217986563e+01,1.200000013316023058e+02,-3.012631125902490600e-16
3.200002241094921374e+01,1.200000013679286184e+02,-3.049370529876911362e-16
3.200002267966961966e+01,1.200000014047502077e+02,-3.086109933851332123e-16
3.200002294834040129e+01,1.200000014420670169e+02,-3.122849337825752885e-16
3.200002321696091911e+01,1.200000014798789749e+02,-3.159588741800173646e-16
3.200002348553049103e+01,1.200000015181859681e+02,-3.196328145774594407e-16
3.200002375404845623e+01,1.200000015569879110e+02,-3.233067549749015169e-16
3.200002402251416811e+01,1.200000015962847613e+02,-3.269806953723435930e-16
3.200002429092693745e+01,1.200000016360763482e+02,-3.306546357697856692e-16
3.200002455928612477e+01,1.200000016763626292e+02,-3.343285761672277453e-16
3.200002482759106215e+01,1.200000017171435189e+02,-3.380025165646698214e-16
3.200002509584107457e+01,1.200000017584188754e+02,-3.416764569621118976e-16
3.200002536403551545e+01,1.200000018001886275e+02,-3.453503973595539737e-16
3.200002563217371687e+01,1.200000018424526758e+02,-3.490243377569960498e-16
3.200002590025501092e+01,1.200000018852109065e+02,-3.526982781544381260e-16
3.200002616827875102e+01,1.200000019284632202e+02,-3.563722185518802021e-16
3.200002643624426213e+01,1.200000019722095317e+02,-3.600461589493222783e-16
3.200002670415088346e+01,1.200000020164496988e+02,-3.637200993467643544e-16
3.200002697199796131e+01,1.200000020611836362e+02,-3.673940397442064305e-16
3.200002723978483488e+01,1.200000021064112303e+02,-3.710679801416485067e-16
3.200002750751083624e+01,1.200000021521323958e+02,-3.747419205390905828e-16
