gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
3.200013185478496780e+01,1.200000685959191316e+02,-2.020667218593136650e-15,1.980398334704122298e+00,2.253446790119780108e+00,3.673940397442059375e-16
3.200013362632144975e+01,1.200000709954257445e+02,-2.057406622567555932e-15,1.944758414098533228e+00,2.284275533028569782e+00,3.673940397442059375e-16
3.200013536552172866e+01,1.200000734272900615e+02,-2.094146026541975214e-15,1.908638653454310496e+00,2.314540665129933839e+00,3.673940397442059375e-16
3.200013707195669355e+01,1.200000758909120719e+02,-2.130885430516394497e-15,1.872047964781920815e+00,2.344234718955392260e+00,3.673940397442059375e-16
3.200013874520529811e+01,1.200000783856839206e+02,-2.167624834490813779e-15,1.834995376286276958e+00,2.373350367941485572e+00,3.673940397442059375e-16
3.200014038485469570e+01,1.200000809109900644e+02,-2.204364238465233061e-15,1.797490030139159423e+00,2.401880428237493259e+00,3.673940397442059375e-16
3.200014199050032460e+01,1.200000834662073999e+02,-2.241103642439652343e-15,1.759541180223525458e+00,2.429817860477941682e+00,3.673940397442059375e-16
3.200014356174602170e+01,1.200000860507054909e+02,-2.277843046414071626e-15,1.721158189850251485e+00,2.457155771519462739e+00,3.673940397442059375e-16
3.200014509820410780e+01,1.200000886638466540e+02,-2.314582450388490908e-15,1.682350529447874887e+00,2.483887416141572047e+00,3.673940397442059375e-16
3.200014659949547280e+01,1.200000913049860856e+02,-2.351321854362910190e-15,1.643127774225908055e+00,2.510006198710954095e+00,3.673940397442059375e-16
3.200014806524971078e+01,1.200000939734721896e+02,-2.388061258337329473e-15,1.603499601812300224e+00,2.535505674808832932e+00,3.673940397442059375e-16
3.200014949510515549e+01,1.200000966686464920e+02,-2.424800662311748755e-15,1.563475789865624410e+00,2.560379552821038462e+00,3.673940397442059375e-16
3.200015088870902247e+01,1.200000993898440669e+02,-2.461540066286168037e-15,1.523066213662589874e+00,2.584621695490367355e+00,3.673940397442059375e-16
3.200015224571745165e+01,1.200001021363934655e+02,-2.498279470260587319e-15,1.482280843661463177e+00,2.608226121430858857e+00,3.673940397442059375e-16
3.200015356579562109e+01,1.200001049076170005e+02,-2.535018874235006602e-15,1.441129743042007583e+00,2.631187006603612044e+00,3.673940397442059375e-16
3.200015484861783222e+01,1.200001077028309453e+02,-2.571758278209425884e-15,1.399623065222543428e+00,2.653498685753782560e+00,3.673940397442059375e-16
3.200015609386755955e+01,1.200001105213456043e+02,-2.608497682183845166e-15,1.357771051354744962e+00,2.675155653808396483e+00,3.673940397442059375e-16
3.200015730123755020e+01,1.200001133624655267e+02,-2.645237086158264448e-15,1.315584027796789179e+00,2.696152567234646469e+00,3.673940397442059375e-16
3.200015847042992334e+01,1.200001162254897622e+02,-2.681976490132683731e-15,1.273072403565481236e+00,2.716484245358328664e+00,3.673940397442059375e-16
3.200015960115618441e+01,1.200001191097118891e+02,-2.718715894107103013e-15,1.230246667767984636e+00,2.736145671642094435e+00,3.673940397442059375e-16
3.200016069313733880e+01,1.200001220144202421e+02,-2.755455298081522295e-15,1.187117387013792325e+00,2.755131994923210037e+00,3.673940397442059375e-16
3.200016174610396291e+01,1.200001249388981108e+02,-2.792194702055941578e-15,1.143695202807573308e+00,2.773438530610502717e+00,3.673940397442059375e-16
3.200016275979626101e+01,1.200001278824239961e+02,-2.828934106030360860e-15,1.099990828923540054e+00,2.791060761840219229e+00,3.673940397442059375e-16
3.200016373396410785e+01,1.200001308442715384e+02,-2.865673510004780142e-15,1.056015048761986153e+00,2.807994340590489912e+00,3.673940397442059375e-16
3.200016466836714812e+01,1.200001338237100015e+02,-2.902412913979199424e-15,1.011778712688642612e+00,2.824235088754141199e+00,3.673940397442059375e-16
3.200016556277483204e+01,1.200001368200042720e+02,-2.939152317953618707e-15,9.672927353575129228e-01,2.839778999169579876e+00,3.673940397442059375e-16
3.200016641696647213e+01,1.200001398324150017e+02,-2.975891721928037989e-15,9.225680930178459249e-01,2.854622236609498209e+00,3.673940397442059375e-16
3.200016723073130720e+01,1.200001428601989488e+02,-3.012631125902457271e-15,8.776158208059094967e-01,2.868761138727163207e+00,3.673940397442059375e-16
3.200016800386856630e+01,1.200001459026090345e+02,-3.049370529876876553e-15,8.324470100222363111e-01,2.882192216960041353e+00,3.673940397442059375e-16
3.200016873618749003e+01,1.200001489588946129e+02,-3.086109933851295836e-15,7.870728053950124536e-01,2.894912157390552743e+00,3.673940397442059375e-16
3.200016942750736604e+01,1.200001520283015708e+02,-3.122849337825715118e-15,7.415044023302804765e-01,2.906917821563728577e+00,3.673940397442059375e-16
3.200017007765764987e+01,1.200001551100725976e+02,-3.159588741800134400e-15,6.957530441496422302e-01,2.918206247261578845e+00,3.673940397442059375e-16
3.200017068647790808e+01,1.200001582034473131e+02,-3.196328145774553682e-15,6.498300193161361538e-01,2.928774649233974348e+00,3.673940397442059375e-16
3.200017125381793193e+01,1.200001613076624523e+02,-3.233067549748972965e-15,6.037466586489791398e-01,2.938620419885867641e+00,3.673940397442059375e-16
3.200017177953773739e+01,1.200001644219520784e+02,-3.269806953723392247e-15,5.575143325278558715e-01,2.947741129920675274e+00,3.673940397442059375e-16
3.200017226350760069e+01,1.200001675455478392e+02,-3.306546357697811529e-15,5.111444480874471896e-01,2.956134528939672101e+00,3.673940397442059375e-16
3.200017270560812932e+01,1.200001706776789803e+02,-3.343285761672230812e-15,4.646484464028916572e-01,2.963798545997244016e+00,3.673940397442059375e-16
3.200017310573021945e+01,1.200001738175727439e+02,-3.380025165646650094e-15,4.180377996668700469e-01,2.970731290111860989e+00,3.673940397442059375e-16
3.200017346377517669e+01,1.200001769644543543e+02,-3.416764569621069376e-15,3.713240083590146901e-01,2.976931050732649187e+00,3.673940397442059375e-16
3.200017377965462373e+01,1.200001801175473872e+02,-3.453503973595488658e-15,3.245185984083370223e-01,2.982396298161444470e+00,3.673940397442059375e-16
3.200017405329064957e+01,1.200001832760738836e+02,-3.490243377569907941e-15,2.776331183493781496e-01,2.987125683930222486e+00,3.673940397442059375e-16
3.200017428461571711e+01,1.200001864392545201e+02,-3.526982781544327223e-15,2.306791364727801275e-01,2.991118041133812078e+00,3.673940397442059375e-16
3.200017447357276978e+01,1.200001896063087798e+02,-3.563722185518746900e-15,1.836682379709834723e-01,2.994372384717811642e+00,3.673940397442059375e-16
3.200017462011517466e+01,1.200001927764552647e+02,-3.600461589493166182e-15,1.366120220797543139e-01,2.996887911721637821e+00,3.673940397442059375e-16
3.200017472420677223e+01,1.200001959489118235e+02,-3.637200993467585464e-15,8.952209921624654232e-02,2.998664001476643470e+00,3.673940397442059375e-16
3.200017478582188346e+01,1.200001991228956228e+02,-3.673940397442004746e-15,4.241008811430507786e-02,2.999700215759257382e+00,3.673940397442059375e-16
3.200017480494531696e+01,1.200002022976236162e+02,-3.710679801416424029e-15,-4.712387042282809371e-03,2.999996298899111125e+00,3.673940397442059375e-16
3.200017478157233342e+01,1.200002054723124303e+02,-3.747419205390843311e-15,-5.183369948788096870e-02,2.999552177842119249e+00,3.673940397442059375e-16
3.200017471570871663e+01,1.200002086461787627e+02,-3.784158609365262593e-15,-9.894222274373480619e-02,2.998367962168507539e+00,3.673940397442059375e-16
3.200017460737070252e+01,1.200002118184395243e+02,-3.820898013339681875e-15,-1.460263334866308826e-01,2.996443944065774190e+00,3.673940397442059375e-16
3.200017445658502879e+01,1.200002149883119671e+02,-3.857637417314101158e-15,-1.930744144167780563e-01,2.993780598256595482e+00,3.673940397442059375e-16
3.200017426338890658e+01,1.200002181550140392e+02,-3.894376821288520440e-15,-2.400748571242024010e-01,2.990378581881697695e+00,3.673940397442059375e-16
3.200017402782999909e+01,1.200002213177643284e+02,-3.931116225262939722e-15,-2.870160649529485131e-01,2.986238734337716139e+00,3.673940397442059375e-16
3.200017374996642872e+01,1.200002244757825451e+02,-3.967855629237359005e-15,-3.338864558623810819e-01,2.981362077070086158e+00,3.673940397442059375e-16
3.200017342986674862e+01,1.200002276282894229e+02,-4.004595033211778287e-15,-3.806744652848799149e-01,2.975749813321017179e+00,3.673940397442059375e-16
3.200017306760993563e+01,1.200002307745071590e+02,-4.041334437186197569e-15,-4.273685489792239944e-01,2.969403327832612405e+00,3.673940397442059375e-16
3.200017266328538312e+01,1.200002339136594856e+02,-4.078073841160616851e-15,-4.739571858789604075e-01,2.962324186505200352e+00,3.673940397442059375e-16
3.200017221699284420e+01,1.200002370449718399e+02,-4.114813245135036134e-15,-5.204288809350546829e-01,2.954514136010976344e+00,3.673940397442059375e-16
3.200017172884243877e+01,1.200002401676716346e+02,-4.151552649109455416e-15,-5.667721679521228184e-01,2.945975103363036141e+00,3.673940397442059375e-16
3.200017119895460382e+01,1.200002432809883572e+02,-4.188292053083874698e-15,-6.129756124175427257e-01,2.936709195439912712e+00,3.673940397442059375e-16
3.200017062746009344e+01,1.200002463841538827e+02,-4.225031457058293980e-15,-6.590278143227497054e-01,2.926718698465736956e+00,3.673940397442059375e-16
3.200017001449990772e+01,1.200002494764025158e+02,-4.261770861032713263e-15,-7.049174109760173446e-01,2.916006077446147593e+00,3.673940397442059375e-16
3.200016936022527858e+01,1.200002525569713043e+02,-4.298510265007132545e-15,-7.506330798060323328e-01,2.904573975560083898e+00,3.673940397442059375e-16
3.200016866479764843e+01,1.200002556251001664e+02,-4.335249668981551827e-15,-7.961635411555690878e-01,2.892425213507623827e+00,3.673940397442059375e-16
3.200016792838859914e+01,1.200002586800320756e+02,-4.371989072955971109e-15,-8.414975610645765158e-01,2.879562788814018504e+00,3.673940397442059375e-16
3.200016715117983779e+01,1.200002617210132740e+02,-4.408728476930390392e-15,-8.866239540419895704e-01,2.865989875090096728e+00,3.673940397442059375e-16
3.200016633336311145e+01,1.200002647472934711e+02,-4.445467880904809674e-15,-9.315315858255819315e-01,2.851709821249223342e+00,3.673940397442059375e-16
3.200016547514022136e+01,1.200002677581259434e+02,-4.482207284879228956e-15,-9.762093761291779082e-01,2.836726150681006864e+00,3.673940397442059375e-16
3.200016457672290926e+01,1.200002707527678183e+02,-4.518946688853648239e-15,-1.020646301376548770e+00,2.821042560381954001e+00,3.673940397442059375e-16
3.200016363833285027e+01,1.200002737304802025e+02,-4.555686092828067521e-15,-1.064831397421313053e+00,2.804662920043293539e+00,3.673940397442059375e-16
3.200016266020158184e+01,1.200002766905284091e+02,-4.592425496802486803e-15,-1.108753762252178365e+00,2.787591271096184542e+00,3.673940397442059375e-16
3.200016164257043982e+01,1.200002796321820853e+02,-4.629164900776906085e-15,-1.152402558682846356e+00,2.769831825714555773e+00,3.673940397442059375e-16
3.200016058569050159e+01,1.200002825547154117e+02,-4.665904304751325368e-15,-1.195767017025929135e+00,2.751388965775815265e+00,3.673940397442059375e-16
3.200015948982255765e+01,1.200002854574073154e+02,-4.702643708725744650e-15,-1.238836437750206798e+00,2.732267241779686717e+00,3.673940397442059375e-16
3.200015835523697660e+01,1.200002883395415694e+02,-4.739383112700163932e-15,-1.281600194120577019e+00,2.712471371725441838e+00,3.673940397442059375e-16
3.200015718221370520e+01,1.200002912004070765e+02,-4.776122516674583214e-15,-1.324047734820043454e+00,2.692006239947803969e+00,3.673940397442059375e-16
3.200015597104217591e+01,1.200002940392979554e+02,-4.812861920649002497e-15,-1.366168586553094588e+00,2.670876895911812543e+00,3.673940397442059375e-16
3.200015472202122169e+01,1.200002968555137528e+02,-4.849601324623421779e-15,-1.407952356629833091e+00,2.649088552966944121e+00,3.673940397442059375e-16
3.200015343545902624e+01,1.200002996483595865e+02,-4.886340728597841061e-15,-1.449388735530216632e+00,2.626646587060794680e+00,3.673940397442059375e-16
3.200015211167301032e+01,1.200003024171463721e+02,-4.923080132572260344e-15,-1.490467499447777344e+00,2.603556535412643758e+00,3.673940397442059375e-16
3.200015075098982464e+01,1.200003051611909939e+02,-4.959819536546679626e-15,-1.531178512812193526e+00,2.579824095147233098e+00,3.673940397442059375e-16
3.200014935374517933e+01,1.200003078798163472e+02,-4.996558940521098908e-15,-1.571511730790088768e+00,2.555455121889081305e+00,3.673940397442059375e-16
3.200014792028383681e+01,1.200003105723516796e+02,-5.033298344495518190e-15,-1.611457201763446534e+00,2.530455628317699102e+00,3.673940397442059375e-16
3.200014645095946975e+01,1.200003132381326196e+02,-5.070037748469937473e-15,-1.651005069785021151e+00,2.504831782684050268e+00,3.673940397442059375e-16
3.200014494613461835e+01,1.200003158765014462e+02,-5.106777152444356755e-15,-1.690145577010145228e+00,2.478589907288626382e+00,3.673940397442059375e-16
3.200014340618056252e+01,1.200003184868072026e+02,-5.143516556418776037e-15,-1.728869066104333774e+00,2.451736476921516417e+00,3.673940397442059375e-16
3.200014183147728630e+01,1.200003210684058104e+02,-5.180255960393195319e-15,-1.767165982626083931e+00,2.424278117264845989e+00,3.673940397442059375e-16
3.200014022241331446e+01,1.200003236206602821e+02,-5.216995364367614602e-15,-1.805026877384293238e+00,2.396221603257993493e+00,3.673940397442059375e-16
3.200013857938565565e+01,1.200003261429409065e+02,-5.253734768342033884e-15,-1.842442408769705331e+00,2.367573857425969930e+00,3.673940397442059375e-16
3.200013690279970291e+01,1.200003286346253475e+02,-5.290474172316453166e-15,-1.879403345059810659e+00,2.338341948171394513e+00,3.673940397442059375e-16
3.200013519306912713e+01,1.200003310950988435e+02,-5.327213576290872448e-15,-1.915900566696638441e+00,2.308533088030470637e+00,3.673940397442059375e-16
3.200013345061578462e+01,1.200003335237542643e+02,-5.363952980265291731e-15,-1.951925068536869867e+00,2.278154631893396509e+00,3.673940397442059375e-16
3.200013167586958929e+01,1.200003359199923807e+02,-5.400692384239711013e-15,-1.987467962073721228e+00,2.247214075189662097e+00,3.673940397442059375e-16
3.200012986926844860e+01,1.200003382832220069e+02,-5.437431788214130295e-15,-2.022520477630052937e+00,2.215719052038661374e+00,3.673940397442059375e-16
3.200012803125810024e+01,1.200003406128600005e+02,-5.474171192188549578e-15,-2.057073966522152464e+00,2.183677333366085271e+00,3.673940397442059375e-16
3.200012616229205520e+01,1.200003429083316036e+02,-5.510910596162968860e-15,-2.091119903193671803e+00,2.151096824986566958e+00,3.673940397442059375e-16
3.200012426283144862e+01,1.200003451690703855e+02,-5.547650000137388142e-15,-2.124649887319176589e+00,2.117985565653036417e+00,3.673940397442059375e-16
3.200012233334494027e+01,1.200003473945185846e+02,-5.584389404111807424e-15,-2.157655645876803696e+00,2.084351725073278594e+00,3.673940397442059375e-16
3.200012037430861511e+01,1.200003495841271075e+02,-5.621128808086226707e-15,-2.190129035189506190e+00,2.050203601894183603e+00,3.673940397442059375e-16
3.200011838620581273e+01,1.200003517373556861e+02,-5.657868212060645989e-15,-2.222062042934378923e+00,2.015549621654176615e+00,3.673940397442059375e-16
3.200011636952709893e+01,1.200003538536730474e+02,-5.694607616035065271e-15,-2.253446790119586485e+00,1.980398334704342345e+00,3.673940397442059375e-16
3.200011432477003126e+01,1.200003559325570279e+02,-5.731347020009484553e-15,-2.284275533028380600e+00,1.944758414098755717e+00,3.673940397442059375e-16
3.200011225243913771e+01,1.200003579734946584e+02,-5.768086423983903836e-15,-2.314540665129748209e+00,1.908638653454535650e+00,3.673940397442059375e-16
3.200011015304573192e+01,1.200003599759824482e+02,-5.804825827958323118e-15,-2.344234718955210184e+00,1.872047964782149077e+00,3.673940397442059375e-16
3.200010802710779956e+01,1.200003619395262575e+02,-5.841565231932742400e-15,-2.373350367941307049e+00,1.834995376286507662e+00,3.673940397442059375e-16
