ref_pos_lat (deg),ref_pos_lon (deg),ref_pos_alt (m)
3.200001622845314841e+01,1.200000003639982680e+02,-2.204364238465232371e-16
3.200001640865506403e+01,1.200000003729722948e+02,-2.228857174448179381e-16
3.200001658885294376e+01,1.200000003820570242e+02,-2.253350110431126391e-16
3.200001676904675207e+01,1.200000003912524704e+02,-2.277843046414073401e-16
3.200001694923642503e+01,1.200000004005586192e+02,-2.302335982397020411e-16
3.200001712942192711e+01,1.200000004099754705e+02,-2.326828918379967420e-16
3.200001730960320145e+01,1.200000004195030385e+02,-2.351321854362914430e-16
3.200001748978019833e+01,1.200000004291413234e+02,-2.375814790345861440e-16
3.200001766995287511e+01,1.200000004388903108e+02,-2.400307726328808450e-16
3.200001785012117494e+01,1.200000004487499723e+02,-2.424800662311755460e-16
3.200001803028504810e+01,1.200000004587203506e+02,-2.449293598294702470e-16
3.200001821044445194e+01,1.200000004688014172e+02,-2.473786534277649480e-16
3.200001839059932962e+01,1.200000004789931864e+02,-2.498279470260596490e-16
3.200001857074963851e+01,1.200000004892956298e+02,-2.522772406243543500e-16
3.200001875089532177e+01,1.200000004997087757e+02,-2.547265342226490510e-16
3.200001893103633677e+01,1.200000005102325815e+02,-2.571758278209437520e-16
3.200001911117263376e+01,1.200000005208670899e+02,-2.596251214192384529e-16
3.200001929130415590e+01,1.200000005316122724e+02,-2.620744150175331539e-16
3.200001947143086767e+01,1.200000005424681433e+02,-2.645237086158278549e-16
3.200001965155269801e+01,1.200000005534347025e+02,-2.669730022141225559e-16
3.200001983166962560e+01,1.200000005645119074e+02,-2.694222958124172569e-16
3.200002001178157229e+01,1.200000005756997723e+02,-2.718715894107119579e-16
3.200002019188850966e+01,1.200000005869983255e+02,-2.743208830090066589e-16
3.200002037199038085e+01,1.200000005984075102e+02,-2.767701766073013599e-16
3.200002055208713614e+01,1.200000006099273833e+02,-2.792194702055960609e-16
3.200002073217872578e+01,1.200000006215579020e+02,-2.816687638038907619e-16
3.200002091226510714e+01,1.200000006332990949e+02,-2.841180574021854629e-16
3.200002109234621628e+01,1.200000006451509051e+02,-2.865673510004801639e-16
3.200002127242201766e+01,1.200000006571133753e+02,-2.890166445987748648e-16
3.200002145249245444e+01,1.200000006691864769e+02,-2.914659381970695658e-16
