ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
1.998332228474109851e+00,8.165968798432776676e-02,2.449293598294706414e-16
1.998289201709004148e+00,8.270590265024224674e-02,2.449293598294706414e-16
1.998245626792204410e+00,8.375210448597528168e-02,2.449293598294706414e-16
1.998201503761957154e+00,8.479829222014695356e-02,2.449293598294706414e-16
1.998156832654491621e+00,8.584446467984944984e-02,2.449293598294706414e-16
1.998111613504192530e+00,8.689062078079902440e-02,2.449293598294706414e-16
1.998065846343755947e+00,8.793675951847415573e-02,2.449293598294706414e-16
1.998019531204337174e+00,8.898287996013899692e-02,2.449293598294706414e-16
1.997972668115684858e+00,9.002898123766457650e-02,2.449293598294706414e-16
1.997925257106266450e+00,9.107506254106821630e-02,2.449293598294706414e-16
1.997877298203384333e+00,9.212112311269912701e-02,2.449293598294706414e-16
1.997828791433282847e+00,9.316716224200514984e-02,2.449293598294706414e-16
1.997779736821246210e+00,9.421317926082267702e-02,2.449293598294706414e-16
1.997730134391690004e+00,9.525917353913911090e-02,2.449293598294706414e-16
1.997679984168245104e+00,9.630514448127663885e-02,2.449293598294706414e-16
1.997629286173834950e+00,9.735109152246018693e-02,2.449293598294706414e-16
1.997578040430746604e+00,9.839701412572769701e-02,2.449293598294706414e-16
1.997526246960696250e+00,9.944291177914814372e-02,2.449293598294706414e-16
1.997473905784890036e+00,1.004887839933197302e-01,2.449293598294706414e-16
1.997421016924078918e+00,1.015346302991172595e-01,2.449293598294706414e-16
1.997367580398609732e+00,1.025804502456653666e-01,2.449293598294706414e-16
1.997313596228472043e+00,1.036262433985130904e-01,2.449293598294706414e-16
1.997259064433341669e+00,1.046720093379929772e-01,2.449293598294706414e-16
1.997203985032618867e+00,1.057177476577432773e-01,2.449293598294706414e-16
1.997148358045466310e+00,1.067634579633778974e-01,2.449293598294706414e-16
1.997092183490840389e+00,1.078091398712887755e-01,2.449293598294706414e-16
1.997035461387523636e+00,1.088547930075702275e-01,2.449293598294706414e-16
1.996978191754150478e+00,1.099004170070486536e-01,2.449293598294706414e-16
1.996920374609235216e+00,1.109460115124093482e-01,2.449293598294706414e-16
1.996862009971193563e+00,1.119915761734126686e-01,2.449293598294706414e-16
1.996803097858364628e+00,1.130371106461869612e-01,2.449293598294706414e-16
1.996743638289031342e+00,1.140826145925915996e-01,2.449293598294706414e-16
1.996683631281437554e+00,1.151280876796462460e-01,2.449293598294706414e-16
1.996623076853804690e+00,1.161735295790146533e-01,2.449293598294706414e-16
1.996561975024346847e+00,1.172189399665413689e-01,2.449293598294706414e-16
1.996500325811284782e+00,1.182643185218345550e-01,2.449293598294706414e-16
1.996438129232858127e+00,1.193096649278900800e-01,2.449293598294706414e-16
1.996375385307337602e+00,1.203549788707543450e-01,2.449293598294706414e-16
1.996312094053034114e+00,1.214002600392197623e-01,2.449293598294706414e-16
1.996248255488309864e+00,1.224455081245515442e-01,2.449293598294706414e-16
1.996183869631586560e+00,1.234907228202400398e-01,2.449293598294706414e-16
1.996118936501352970e+00,1.245359038217811465e-01,2.449293598294706414e-16
1.996053456116172908e+00,1.255810508264749159e-01,2.449293598294706414e-16
