ref_gps_lat (deg),ref_gps_lon (deg),ref_gps_alt (m),ref_gps_vN (m/s),ref_gps_vE (m/s),ref_gps_vD (m/s)
3.200003601585722635e+01,1.200000020141968520e+02,-4.898587196589412829e-16,1.990006859727696087e+00,1.996814919733762017e-01,2.449293598294706414e-16
3.200003781005492698e+01,1.200000022304767100e+02,-5.143516556418887858e-16,1.988934056136722361e+00,2.100983587263953178e-01,2.449293598294706414e-16
3.200003960326301922e+01,1.200000024577777680e+02,-5.388445916248362888e-16,1.987806724913630863e+00,2.205094655295874728e-01,2.449293598294706414e-16
3.200004139543234771e+01,1.200000026960938584e+02,-5.633375276077837917e-16,1.986624896964944709e+00,2.309145269553713742e-01,2.449293598294706414e-16
3.200004318651377133e+01,1.200000029454184016e+02,-5.878304635907312947e-16,1.985388604691135761e+00,2.413132577430950332e-01,2.449293598294706414e-16
3.200004497645819157e+01,1.200000032057445907e+02,-6.123233995736787976e-16,1.984097881985803946e+00,2.517053728060774098e-01,2.449293598294706414e-16
3.200004676521652414e+01,1.200000034770652633e+02,-6.368163355566263006e-16,1.982752764234773091e+00,2.620905872391572911e-01,2.449293598294706414e-16
3.200004855273974869e+01,1.200000037593729729e+02,-6.613092715395738035e-16,1.981353288315128358e+00,2.724686163264084526e-01,2.449293598294706414e-16
3.200005033897885198e+01,1.200000040526600458e+02,-6.858022075225213064e-16,1.979899492594210386e+00,2.828391755489117476e-01,2.449293598294706414e-16
3.200005212388485631e+01,1.200000043569183674e+02,-7.102951435054688094e-16,1.978391416928563684e+00,2.932019805925439315e-01,2.449293598294706414e-16
3.200005390740882660e+01,1.200000046721396103e+02,-7.347880794884163123e-16,1.976829102662844395e+00,3.035567473557682083e-01,2.449293598294706414e-16
3.200005568950187751e+01,1.200000049983151769e+02,-7.592810154713638153e-16,1.975212592628687425e+00,3.139031919574231666e-01,2.449293598294706414e-16
3.200005747011515211e+01,1.200000053354360716e+02,-7.837739514543113182e-16,1.973541931143532047e+00,3.242410307445035555e-01,2.449293598294706414e-16
3.200005924919982192e+01,1.200000056834931002e+02,-8.082668874372588212e-16,1.971817164009406875e+00,3.345699802999368422e-01,2.449293598294706414e-16
3.200006102670711527e+01,1.200000060424766843e+02,-8.327598234202063241e-16,1.970038338511673759e+00,3.448897574503534402e-01,2.449293598294706414e-16
3.200006280258831737e+01,1.200000064123769903e+02,-8.572527594031538271e-16,1.968205503417732816e+00,3.552000792738496671e-01,2.449293598294706414e-16
3.200006457679472049e+01,1.200000067931838856e+02,-8.817456953861013300e-16,1.966318708975683505e+00,3.655006631077445944e-01,2.449293598294706414e-16
3.200006634927769511e+01,1.200000071848869396e+02,-9.062386313690487344e-16,1.964378006912949060e+00,3.757912265563290166e-01,2.449293598294706414e-16
3.200006811998864720e+01,1.200000075874754089e+02,-9.307315673519962373e-16,1.962383450434856291e+00,3.860714874986078682e-01,2.449293598294706414e-16
3.200006988887902537e+01,1.200000080009382373e+02,-9.552245033349437403e-16,1.960335094223178976e+00,3.963411640960342597e-01,2.449293598294706414e-16
3.200007165590034219e+01,1.200000084252640988e+02,-9.797174393178912432e-16,1.958232994434637497e+00,4.065999748002366854e-01,2.449293598294706414e-16
3.200007342100414576e+01,1.200000088604413833e+02,-1.004210375300838746e-15,1.956077208699358971e+00,4.168476383607374602e-01,2.449293598294706414e-16
3.200007518414206231e+01,1.200000093064581250e+02,-1.028703311283786249e-15,1.953867796119298728e+00,4.270838738326634410e-01,2.449293598294706414e-16
3.200007694526573232e+01,1.200000097633021028e+02,-1.053196247266733752e-15,1.951604817266618497e+00,4.373084005844484201e-01,2.449293598294706414e-16
