ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
1.045650829643668817e-01,-1.199522189332564524e-15,9.794825313113584286e+00
1.045650904951790361e-01,-1.199522189350461017e-15,9.794825184016447750e+00
1.045650972523832350e-01,-1.199522189368356721e-15,9.794825054923730789e+00
1.045651033133409985e-01,-1.199522189386252031e-15,9.794824925835477814e+00
1.045651087476777569e-01,-1.199522189404146749e-15,9.794824796751719020e+00
1.045651136180563989e-01,-1.199522189422040875e-15,9.794824667672491714e+00
1.045651179808734926e-01,-1.199522189439934213e-15,9.794824538597831420e+00
1.045651218868859644e-01,-1.199522189457826761e-15,9.794824409527773668e+00
1.045651253817750925e-01,-1.199522189475718718e-15,9.794824280462357535e+00
1.045651285066539898e-01,-1.199522189493610281e-15,9.794824151401616774e+00
1.045651312985244608e-01,-1.199522189511501054e-15,9.794824022345588688e+00
1.045651337906882000e-01,-1.199522189529391237e-15,9.794823893294307027e+00
1.045651360131166635e-01,-1.199522189547280630e-15,9.794823764247807318e+00
1.045651379927842184e-01,-1.199522189565169628e-15,9.794823635206130419e+00
1.045651397539677507e-01,-1.199522189583058036e-15,9.794823506169306526e+00
1.045651413185164913e-01,-1.199522189600945259e-15,9.794823377137367615e+00
1.045651427060947519e-01,-1.199522189618832089e-15,9.794823248110359870e+00
1.045651439344004452e-01,-1.199522189636718129e-15,9.794823119088309937e+00
1.045651450193616772e-01,-1.199522189654603578e-15,9.794822990071260449e+00
1.045651459753137030e-01,-1.199522189672488238e-15,9.794822861059241603e+00
1.045651468151583274e-01,-1.199522189690372109e-15,9.794822732052288927e+00
1.045651475505071232e-01,-1.199522189708255783e-15,9.794822603050443277e+00
1.045651481918106057e-01,-1.199522189726138077e-15,9.794822474053731298e+00
1.045651487484741127e-01,-1.199522189744019976e-15,9.794822345062197400e+00
1.045651492289625534e-01,-1.199522189761901086e-15,9.794822216075873555e+00
1.045651496408943198e-01,-1.199522189779781604e-15,9.794822087094795293e+00
1.045651499911259413e-01,-1.199522189797661137e-15,9.794821958118996363e+00
1.045651502858283843e-01,-1.199522189815540472e-15,9.794821829148515846e+00
1.045651505305553869e-01,-1.199522189833418624e-15,9.794821700183385715e+00
1.045651507303054784e-01,-1.199522189851295987e-15,9.794821571223639722e+00
1.045651508895772130e-01,-1.199522189869172758e-15,9.794821442269320499e+00
1.045651510124193662e-01,-1.199522189887048741e-15,9.794821313320458245e+00
1.045651511024758007e-01,-1.199522189904924132e-15,9.794821184377088485e+00
1.045651511630260599e-01,-1.199522189922798339e-15,9.794821055439246749e+00
1.045651511970216718e-01,-1.199522189940672152e-15,9.794820926506970338e+00
1.045651512071190115e-01,-1.199522189958545374e-15,9.794820797580294780e+00
1.045651511957088747e-01,-1.199522189976417215e-15,9.794820668659250273e+00
1.045651511649429710e-01,-1.199522189994288662e-15,9.794820539743877674e+00
1.045651511167578485e-01,-1.199522190012159122e-15,9.794820410834210733e+00
1.045651510528963490e-01,-1.199522190030028991e-15,9.794820281930286754e+00
1.045651509749271069e-01,-1.199522190047898071e-15,9.794820153032137711e+00
1.045651508842618954e-01,-1.199522190065765968e-15,9.794820024139797354e+00
1.045651507821712262e-01,-1.199522190083633470e-15,9.794819895253308317e+00
1.045651506697986705e-01,-1.199522190101500183e-15,9.794819766372699021e+00
1.045651505481734189e-01,-1.199522190119365911e-15,9.794819637498008547e+00
1.045651504182217306e-01,-1.199522190137230849e-15,9.794819508629270643e+00
1.045651502807772165e-01,-1.199522190155094999e-15,9.794819379766520839e+00
1.045651501365902347e-01,-1.199522190172958360e-15,9.794819250909796438e+00
1.045651499863359674e-01,-1.199522190190820537e-15,9.794819122059127636e+00
1.045651498306222060e-01,-1.199522190208682123e-15,9.794818993214557068e+00
1.045651496699959299e-01,-1.199522190226542723e-15,9.794818864376111378e+00
1.045651495049494256e-01,-1.199522190244402731e-15,9.794818735543834975e+00
1.045651493359257000e-01,-1.199522190262261753e-15,9.794818606717756282e+00
1.045651491633235730e-01,-1.199522190280119986e-15,9.794818477897917930e+00
1.045651489875019241e-01,-1.199522190297977430e-15,9.794818349084346565e+00
1.045651488087837172e-01,-1.199522190315833691e-15,9.794818220277081267e+00
1.045651486274597475e-01,-1.199522190333689361e-15,9.794818091476159339e+00
1.045651484437915696e-01,-1.199522190351544044e-15,9.794817962681612755e+00
1.045651482580147312e-01,-1.199522190369397741e-15,9.794817833893480596e+00
1.045651480703411323e-01,-1.199522190387250452e-15,9.794817705111793060e+00
1.045651478809615648e-01,-1.199522190405102572e-15,9.794817576336591003e+00
1.045651476900476967e-01,-1.199522190422953705e-15,9.794817447567906399e+00
1.045651474977540296e-01,-1.199522190440804050e-15,9.794817318805776551e+00
1.045651473042196744e-01,-1.199522190458653408e-15,9.794817190050233435e+00
1.045651471095697949e-01,-1.199522190476501584e-15,9.794817061301314354e+00
1.045651469139170647e-01,-1.199522190494348970e-15,9.794816932559053058e+00
1.045651467173628474e-01,-1.199522190512195567e-15,9.794816803823490403e+00
1.045651465199984587e-01,-1.199522190530040982e-15,9.794816675094653036e+00
1.045651463219059857e-01,-1.199522190547885804e-15,9.794816546372587140e+00
1.045651461231594248e-01,-1.199522190565729443e-15,9.794816417657317587e+00
1.045651459238252784e-01,-1.199522190583572294e-15,9.794816288948885230e+00
1.045651457239634569e-01,-1.199522190601414158e-15,9.794816160247323822e+00
1.045651455236279032e-01,-1.199522190619255036e-15,9.794816031552668889e+00
1.045651453228671340e-01,-1.199522190637094731e-15,9.794815902864954182e+00
1.045651451217248090e-01,-1.199522190654934032e-15,9.794815774184220558e+00
1.045651449202402716e-01,-1.199522190672771755e-15,9.794815645510492885e+00
1.045651447184489102e-01,-1.199522190690608688e-15,9.794815516843817349e+00
1.045651445163825466e-01,-1.199522190708444834e-15,9.794815388184222371e+00
1.045651443140699355e-01,-1.199522190726279993e-15,9.794815259531748808e+00
1.045651441115368202e-01,-1.199522190744113968e-15,9.794815130886426857e+00
1.045651439088064877e-01,-1.199522190761946958e-15,9.794815002248292046e+00
1.045651437058998240e-01,-1.199522190779778961e-15,9.794814873617381679e+00
1.045651435028357029e-01,-1.199522190797609979e-15,9.794814744993729505e+00
1.045651432996310692e-01,-1.199522190815440010e-15,9.794814616377374605e+00
1.045651430963011608e-01,-1.199522190833269056e-15,9.794814487768347178e+00
1.045651428928597859e-01,-1.199522190851097312e-15,9.794814359166686302e+00
1.045651426893192404e-01,-1.199522190868924188e-15,9.794814230572425728e+00
1.045651424856907513e-01,-1.199522190886750078e-15,9.794814101985597432e+00
1.045651422819843107e-01,-1.199522190904574982e-15,9.794813973406242269e+00
1.045651420782089391e-01,-1.199522190922398702e-15,9.794813844834392214e+00
1.045651418743728245e-01,-1.199522190940221831e-15,9.794813716270086346e+00
1.045651416704832665e-01,-1.199522190958043382e-15,9.794813587713353087e+00
1.045651414665468570e-01,-1.199522190975864342e-15,9.794813459164235070e+00
1.045651412625695914e-01,-1.199522190993684315e-15,9.794813330622762493e+00
1.045651410585567986e-01,-1.199522191011502514e-15,9.794813202088969106e+00
1.045651408545133221e-01,-1.199522191029320120e-15,9.794813073562895767e+00
1.045651406504434777e-01,-1.199522191047136741e-15,9.794812945044576225e+00
1.045651404463512485e-01,-1.199522191064952179e-15,9.794812816534042454e+00
1.045651402422401038e-01,-1.199522191082766433e-15,9.794812688031331760e+00
1.045651400381133050e-01,-1.199522191100579701e-15,9.794812559536481444e+00
1.045651398339736415e-01,-1.199522191118391589e-15,9.794812431049521706e+00
1.045651396298237779e-01,-1.199522191136202884e-15,9.794812302570495177e+00
1.045651394256660455e-01,-1.199522191154012800e-15,9.794812174099428503e+00
1.045651392215024983e-01,-1.199522191171821729e-15,9.794812045636364317e+00
1.045651390173351070e-01,-1.199522191189629475e-15,9.794811917181332817e+00
1.045651388131655368e-01,-1.199522191207436038e-15,9.794811788734369529e+00
1.045651386089953977e-01,-1.199522191225241418e-15,9.794811660295511757e+00
1.045651384048260635e-01,-1.199522191243045811e-15,9.794811531864795029e+00
1.045651382006587971e-01,-1.199522191260849416e-15,9.794811403442256648e+00
1.045651379964947364e-01,-1.199522191278651442e-15,9.794811275027925035e+00
1.045651377923349640e-01,-1.199522191296452286e-15,9.794811146621839271e+00
1.045651375881803957e-01,-1.199522191314252341e-15,9.794811018224036658e+00
1.045651373840318643e-01,-1.199522191332051015e-15,9.794810889834547396e+00
1.045651371798901885e-01,-1.199522191349848111e-15,9.794810761453408787e+00
1.045651369757560345e-01,-1.199522191367644813e-15,9.794810633080659912e+00
1.045651367716300267e-01,-1.199522191385440135e-15,9.794810504716332744e+00
1.045651365675127897e-01,-1.199522191403233879e-15,9.794810376360459259e+00
1.045651363634048092e-01,-1.199522191421026636e-15,9.794810248013080312e+00
1.045651361593065709e-01,-1.199522191438818408e-15,9.794810119674226101e+00
1.045651359552185328e-01,-1.199522191456608799e-15,9.794809991343937483e+00
1.045651357511410556e-01,-1.199522191474398204e-15,9.794809863022246432e+00
1.045651355470745558e-01,-1.199522191492186623e-15,9.794809734709188476e+00
1.045651353430193109e-01,-1.199522191509973267e-15,9.794809606404795588e+00
1.045651351389756817e-01,-1.199522191527759122e-15,9.794809478109108625e+00
1.045651349349439041e-01,-1.199522191545543400e-15,9.794809349822157785e+00
1.045651347309242557e-01,-1.199522191563326888e-15,9.794809221543982147e+00
1.045651345269169863e-01,-1.199522191581108799e-15,9.794809093274613687e+00
1.045651343229222902e-01,-1.199522191598889724e-15,9.794808965014091484e+00
1.045651341189403893e-01,-1.199522191616669466e-15,9.794808836762445736e+00
1.045651339149714781e-01,-1.199522191634447629e-15,9.794808708519715523e+00
1.045651337110157092e-01,-1.199522191652224413e-15,9.794808580285931043e+00
1.045651335070732352e-01,-1.199522191670000604e-15,9.794808452061136705e+00
1.045651333031442642e-01,-1.199522191687775021e-15,9.794808323845357378e+00
1.045651330992288935e-01,-1.199522191705548649e-15,9.794808195638635695e+00
1.045651328953272480e-01,-1.199522191723321093e-15,9.794808067441005406e+00
1.045651326914395080e-01,-1.199522191741091763e-15,9.794807939252498485e+00
1.045651324875657290e-01,-1.199522191758861249e-15,9.794807811073150461e+00
1.045651322837060915e-01,-1.199522191776629355e-15,9.794807682902996859e+00
1.045651320798606371e-01,-1.199522191794396672e-15,9.794807554742076761e+00
1.045651318760295184e-01,-1.199522191812162609e-15,9.794807426590423916e+00
1.045651316722127772e-01,-1.199522191829926967e-15,9.794807298448066746e+00
1.045651314684105798e-01,-1.199522191847690143e-15,9.794807170315047884e+00
1.045651312646229680e-01,-1.199522191865452135e-15,9.794807042191401081e+00
1.045651310608500112e-01,-1.199522191883212747e-15,9.794806914077160087e+00
1.045651308570918619e-01,-1.199522191900971780e-15,9.794806785972356877e+00
1.045651306533485481e-01,-1.199522191918730025e-15,9.794806657877035860e+00
1.045651304496201112e-01,-1.199522191936486890e-15,9.794806529791223682e+00
1.045651302459067178e-01,-1.199522191954241980e-15,9.794806401714957644e+00
1.045651300422083818e-01,-1.199522191971996083e-15,9.794806273648273276e+00
1.045651298385252004e-01,-1.199522191989748806e-15,9.794806145591207880e+00
1.045651296348572290e-01,-1.199522192007500149e-15,9.794806017543793430e+00
1.045651294312045371e-01,-1.199522192025250308e-15,9.794805889506065455e+00
1.045651292275672217e-01,-1.199522192042998692e-15,9.794805761478057704e+00
1.045651290239452968e-01,-1.199522192060745893e-15,9.794805633459807481e+00
1.045651288203388735e-01,-1.199522192078492108e-15,9.794805505451353866e+00
1.045651286167479654e-01,-1.199522192096236745e-15,9.794805377452725281e+00
1.045651284131726977e-01,-1.199522192113980002e-15,9.794805249463959029e+00
1.045651282096130980e-01,-1.199522192131721681e-15,9.794805121485088861e+00
1.045651280060692218e-01,-1.199522192149462374e-15,9.794804993516155633e+00
1.045651278025411524e-01,-1.199522192167201686e-15,9.794804865557187767e+00
1.045651275990289591e-01,-1.199522192184939224e-15,9.794804737608220790e+00
1.045651273955326560e-01,-1.199522192202675578e-15,9.794804609669293782e+00
1.045651271920523540e-01,-1.199522192220410552e-15,9.794804481740440494e+00
1.045651269885880807e-01,-1.199522192238143948e-15,9.794804353821692899e+00
1.045651267851398919e-01,-1.199522192255876160e-15,9.794804225913090079e+00
1.045651265817078568e-01,-1.199522192273606992e-15,9.794804098014667559e+00
1.045651263782920726e-01,-1.199522192291336247e-15,9.794803970126453763e+00
1.045651261748925392e-01,-1.199522192309064121e-15,9.794803842248493098e+00
1.045651259715093401e-01,-1.199522192326790811e-15,9.794803714380813986e+00
1.045651257681425167e-01,-1.199522192344515727e-15,9.794803586523451955e+00
1.045651255647921246e-01,-1.199522192362239262e-15,9.794803458676444308e+00
1.045651253614582749e-01,-1.199522192379961614e-15,9.794803330839826572e+00
1.045651251581409674e-01,-1.199522192397682388e-15,9.794803203013630721e+00
1.045651249548402717e-01,-1.199522192415401979e-15,9.794803075197897613e+00
1.045651247515562848e-01,-1.199522192433119598e-15,9.794802947392652115e+00
1.045651245482889791e-01,-1.199522192450835836e-15,9.794802819597936860e+00
1.045651243450385209e-01,-1.199522192468550891e-15,9.794802691813787376e+00
1.045651241418048549e-01,-1.199522192486264368e-15,9.794802564040237414e+00
1.045651239385881059e-01,-1.199522192503976268e-15,9.794802436277318947e+00
1.045651237353883156e-01,-1.199522192521686984e-15,9.794802308525071055e+00
1.045651235322055395e-01,-1.199522192539395925e-15,9.794802180783525714e+00
1.045651233290398052e-01,-1.199522192557103288e-15,9.794802053052718449e+00
1.045651231258912378e-01,-1.199522192574809666e-15,9.794801925332690118e+00
1.045651229227598511e-01,-1.199522192592514071e-15,9.794801797623465589e+00
1.045651227196456728e-01,-1.199522192610217293e-15,9.794801669925087495e+00
1.045651225165488002e-01,-1.199522192627918740e-15,9.794801542237587810e+00
1.045651223134693025e-01,-1.199522192645619004e-15,9.794801414561003838e+00
1.045651221104071799e-01,-1.199522192663317296e-15,9.794801286895364001e+00
1.045651219073625293e-01,-1.199522192681014404e-15,9.794801159240712707e+00
1.045651217043354203e-01,-1.199522192698709737e-15,9.794801031597076602e+00
1.045651215013258528e-01,-1.199522192716403888e-15,9.794800903964498318e+00
1.045651212983339240e-01,-1.199522192734096263e-15,9.794800776343006277e+00
1.045651210953596894e-01,-1.199522192751787060e-15,9.794800648732639559e+00
1.045651208924031905e-01,-1.199522192769476477e-15,9.794800521133431914e+00
1.045651206894644691e-01,-1.199522192787164316e-15,9.794800393545417094e+00
1.045651204865436362e-01,-1.199522192804850578e-15,9.794800265968632402e+00
1.045651202836407057e-01,-1.199522192822535262e-15,9.794800138403111589e+00
1.045651200807557468e-01,-1.199522192840218368e-15,9.794800010848888405e+00
1.045651198778887736e-01,-1.199522192857900093e-15,9.794799883306001931e+00
1.045651196750398970e-01,-1.199522192875579847e-15,9.794799755774480587e+00
1.045651194722091309e-01,-1.199522192893258219e-15,9.794799628254363455e+00
1.045651192693965725e-01,-1.199522192910935212e-15,9.794799500745687837e+00
1.045651190666022495e-01,-1.199522192928610429e-15,9.794799373248483931e+00
1.045651188638262036e-01,-1.199522192946283872e-15,9.794799245762787265e+00
1.045651186610685596e-01,-1.199522192963955934e-15,9.794799118288635142e+00
1.045651184583292759e-01,-1.199522192981626418e-15,9.794798990826063090e+00
1.045651182556084774e-01,-1.199522192999295127e-15,9.794798863375103082e+00
1.045651180529062196e-01,-1.199522193016962259e-15,9.794798735935790646e+00
1.045651178502225165e-01,-1.199522193034628405e-15,9.794798608508166637e+00
1.045651176475574651e-01,-1.199522193052291986e-15,9.794798481092254150e+00
1.045651174449111070e-01,-1.199522193069954385e-15,9.794798353688097592e+00
1.045651172422834563e-01,-1.199522193087615205e-15,9.794798226295730714e+00
1.045651170396746377e-01,-1.199522193105274448e-15,9.794798098915185491e+00
1.045651168370846651e-01,-1.199522193122931522e-15,9.794797971546495674e+00
1.045651166345135802e-01,-1.199522193140587412e-15,9.794797844189702118e+00
1.045651164319614940e-01,-1.199522193158241725e-15,9.794797716844836799e+00
