ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
-3.864234308217947937e-04,-1.199522188876785937e-15,9.794838053073490869e+00
-3.864234356885710465e-04,-1.199522188921621241e-15,9.794838053439599790e+00
-3.864234405553473536e-04,-1.199522188966457136e-15,9.794838053805712264e+00
-3.864234454221236064e-04,-1.199522189011292835e-15,9.794838054171822961e+00
-3.864234502888997508e-04,-1.199522189056128139e-15,9.794838054537931882e+00
-3.864234551556760037e-04,-1.199522189100964232e-15,9.794838054904046132e+00
-3.864234600224521481e-04,-1.199522189145799733e-15,9.794838055270156829e+00
-3.864234648892282383e-04,-1.199522189190635234e-15,9.794838055636267526e+00
-3.864234697560043285e-04,-1.199522189235471130e-15,9.794838056002380000e+00
-3.864234746227804729e-04,-1.199522189280306828e-15,9.794838056368490697e+00
-3.864234794895565089e-04,-1.199522189325142329e-15,9.794838056734601395e+00
-3.864234843563325991e-04,-1.199522189369977830e-15,9.794838057100710316e+00
-3.864234892231085809e-04,-1.199522189414813726e-15,9.794838057466822789e+00
-3.864234940898845626e-04,-1.199522189459649227e-15,9.794838057832935263e+00
-3.864234989566604902e-04,-1.199522189504484926e-15,9.794838058199045960e+00
-3.864235038234364178e-04,-1.199522189549320821e-15,9.794838058565158434e+00
-3.864235086902123454e-04,-1.199522189594156322e-15,9.794838058931269131e+00
-3.864235135569882729e-04,-1.199522189638992021e-15,9.794838059297379829e+00
-3.864235184237641463e-04,-1.199522189683827325e-15,9.794838059663488750e+00
-3.864235232905399112e-04,-1.199522189728663220e-15,9.794838060029603000e+00
-3.864235281573157846e-04,-1.199522189773499116e-15,9.794838060395715473e+00
-3.864235330240916037e-04,-1.199522189818334420e-15,9.794838060761824394e+00
-3.864235378908673687e-04,-1.199522189863170316e-15,9.794838061127936868e+00
-3.864235427576431878e-04,-1.199522189908006014e-15,9.794838061494047565e+00
-3.864235476244187902e-04,-1.199522189952841712e-15,9.794838061860158263e+00
-3.864235524911945551e-04,-1.199522189997677214e-15,9.794838062226270736e+00
-3.864235573579702116e-04,-1.199522190042512715e-15,9.794838062592379657e+00
-3.864235622247458681e-04,-1.199522190087348413e-15,9.794838062958492131e+00
-3.864235670915214162e-04,-1.199522190132184112e-15,9.794838063324602828e+00
