ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
2.460273892744994750e+00,-1.506483273887978260e-16,3.012966547775956520e-16
2.470246503470495014e+00,-1.512589736790041495e-16,3.025179473580082989e-16
2.480221853123445452e+00,-1.518697876801472143e-16,3.037395753602944285e-16
2.490199667811100692e+00,-1.524807526211333413e-16,3.049615052422666827e-16
2.500179701029990653e+00,-1.530918534079782368e-16,3.061837068159564736e-16
2.510161730926991464e+00,-1.537030764560959770e-16,3.074061529121919539e-16
2.520145557834292394e+00,-1.543144095393593488e-16,3.086288190787186977e-16
2.530131002050862943e+00,-1.549258416542537375e-16,3.098516833085074750e-16
2.540117901845776682e+00,-1.555373628976160610e-16,3.110747257952321219e-16
2.550106111661198938e+00,-1.561489643565994962e-16,3.122979287131989924e-16
2.560095500495079168e+00,-1.567606380096420010e-16,3.135212760192840021e-16
2.570085950445571310e+00,-1.573723766373376044e-16,3.147447532746752089e-16
2.580077355401014128e+00,-1.579841737422210113e-16,3.159683474844420226e-16
2.590069619860912553e+00,-1.585960234765734192e-16,3.171920469531468383e-16
2.600062657874821159e+00,-1.592079205774479648e-16,3.184158411548959296e-16
2.610056392087339194e+00,-1.598198603081924518e-16,3.196397206163849036e-16
2.620050752878605227e+00,-1.604318384058198292e-16,3.208636768116396585e-16
2.630045677590744813e+00,-1.610438510336418772e-16,3.220877020672837543e-16
2.640041109831670507e+00,-1.616558947386390644e-16,3.233117894772781288e-16
2.650036998848503522e+00,-1.622679664130939041e-16,3.245359328261878082e-16
2.660033298963653259e+00,-1.628800632600606138e-16,3.257601265201212276e-16
2.670029969067287734e+00,-1.634921827622880139e-16,3.269843655245760279e-16
2.680026972160558962e+00,-1.641043226542500699e-16,3.282086453085001398e-16
2.690024274944502913e+00,-1.647164808969732668e-16,3.294329617939465337e-16
2.700021847450052803e+00,-1.653286556553815104e-16,3.306573113107630208e-16
2.710019662705047683e+00,-1.659408452779063156e-16,3.318816905558126312e-16
2.720017696434542831e+00,-1.665530482781360041e-16,3.331060965562720082e-16
2.730015926791088621e+00,-1.671652633183000876e-16,3.343305266366001752e-16
2.740014334111979810e+00,-1.677774891944051315e-16,3.355549783888102629e-16
2.750012900700781859e+00,-1.683897248228570299e-16,3.367794496457140598e-16
2.760011610630703771e+00,-1.690019692284211146e-16,3.380039384568422292e-16
2.770010449567633426e+00,-1.696142215333861645e-16,3.392284430667723290e-16
2.780009404610870316e+00,-1.702264809478120634e-16,3.404529618956241268e-16
2.790008464149783318e+00,-1.708387467607527609e-16,3.416774935215055218e-16
2.800007617734804999e+00,-1.714510183323567426e-16,3.429020366647134852e-16
2.810006855961324490e+00,-1.720632950867576925e-16,3.441265901735153849e-16
2.820006170365191966e+00,-1.726755765056758939e-16,3.453511530113517877e-16
2.830005553328672985e+00,-1.732878621226596686e-16,3.465757242453193371e-16
2.840004997995805525e+00,-1.739001515179024370e-16,3.478003030358048740e-16
2.850004498196224922e+00,-1.745124443135782826e-16,3.490248886271565651e-16
2.860004048376602270e+00,-1.751247401696439049e-16,3.502494803392878098e-16
2.870003643538942217e+00,-1.757370387800603461e-16,3.514740775601206923e-16
2.880003279185047838e+00,-1.763493398693924824e-16,3.526986797387849648e-16
2.890002951266542830e+00,-1.769616431897487861e-16,3.539232863794975723e-16
2.900002656139888391e+00,-1.775739485180268455e-16,3.551478970360536910e-16
2.910002390525899596e+00,-1.781862556534344430e-16,3.563725113068688861e-16
2.920002151473309659e+00,-1.787985644152586816e-16,3.575971288305173632e-16
2.930001936325978829e+00,-1.794108746408578404e-16,3.588217492817156809e-16
2.940001742693381104e+00,-1.800231861838544645e-16,3.600463723677089290e-16
2.950001568424042819e+00,-1.806354989125087825e-16,3.612709978250175651e-16
2.960001411581638653e+00,-1.812478127082550499e-16,3.624956254165100998e-16
2.970001270423474615e+00,-1.818601274643840272e-16,3.637202549287680544e-16
2.980001143381127093e+00,-1.824724430848574953e-16,3.649448861697149905e-16
2.990001029043014569e+00,-1.830847594832410001e-16,3.661695189664820001e-16
3.000000926138713275e+00,-1.836970765817435133e-16,3.673941531634870266e-16
3.010000833524841823e+00,-1.843093943103531365e-16,3.686187886207062731e-16
3.020000750172357584e+00,-1.849217126060591613e-16,3.698434252121183226e-16
3.030000675155121836e+00,-1.855340314121519548e-16,3.710680628243039096e-16
3.040000607639609775e+00,-1.861463506775928328e-16,3.722927013551856656e-16
3.050000546875648588e+00,-1.867586703564469917e-16,3.735173407128939835e-16
3.060000492188083676e+00,-1.873709904073730912e-16,3.747419808147461824e-16
3.070000442969275323e+00,-1.879833107931639643e-16,3.759666215863279286e-16
3.080000398672347650e+00,-1.885956314803331065e-16,3.771912629606662130e-16
3.090000358805113034e+00,-1.892079524387427279e-16,3.784159048774854558e-16
3.100000322924601814e+00,-1.898202736412687337e-16,3.796405472825374674e-16
3.110000290632141784e+00,-1.904325950634995274e-16,3.808651901269990549e-16
3.120000261568927513e+00,-1.910449166834645933e-16,3.820898333669291866e-16
3.130000235412034648e+00,-1.916572384813905164e-16,3.833144769627810328e-16
