ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
-2.005138116519438661e-05,3.543207587888034301e-03,2.214042331038197555e-03
-2.013846664983729801e-05,3.543207580139714086e-03,2.214042343438099841e-03
-2.022586179112404519e-05,3.543207572357741537e-03,2.214042355891855749e-03
-2.031353562338935451e-05,3.543207564541997392e-03,2.214042368399658268e-03
-2.040146027753444988e-05,3.543207556692374530e-03,2.214042380961677835e-03
-2.048961067137045213e-05,3.543207548808774074e-03,2.214042393578071009e-03
-2.057796423092734798e-05,3.543207540891111888e-03,2.214042406248976566e-03
-2.066650063963213532e-05,3.543207532939306442e-03,2.214042418974521143e-03
-2.075520161256911154e-05,3.543207524953289212e-03,2.214042431754817061e-03
-2.084405069331412874e-05,3.543207516932995581e-03,2.214042444589965804e-03
-2.093303307108545922e-05,3.543207508878368304e-03,2.214042457480060178e-03
-2.102213541617953076e-05,3.543207500789356638e-03,2.214042470425180847e-03
-2.111134573186316022e-05,3.543207492665914182e-03,2.214042483425402840e-03
-2.120065322107642246e-05,3.543207484507997999e-03,2.214042496480793810e-03
-2.129004816646543603e-05,3.543207476315570793e-03,2.214042509591412737e-03
-2.137952182241167304e-05,3.543207468088600039e-03,2.214042522757314266e-03
-2.146906631785846926e-05,3.543207459827054078e-03,2.214042535978546101e-03
-2.155867456885480788e-05,3.543207451530906021e-03,2.214042549255153345e-03
-2.164834019984478294e-05,3.543207443200131583e-03,2.214042562587174596e-03
-2.173805747282807907e-05,3.543207434834707344e-03,2.214042575974646283e-03
-2.182782122360438432e-05,3.543207426434615524e-03,2.214042589417599197e-03
-2.191762680439345723e-05,3.543207417999835740e-03,2.214042602916062395e-03
-2.200747003219302221e-05,3.543207409530353246e-03,2.214042616470061897e-03
-2.209734714230107900e-05,3.543207401026153731e-03,2.214042630079621557e-03
-2.218725474648579045e-05,3.543207392487222884e-03,2.214042643744761323e-03
-2.227718979533850683e-05,3.543207383913549429e-03,2.214042657465500712e-03
-2.236714954439145188e-05,3.543207375305123391e-03,2.214042671241855768e-03
-2.245713152362360492e-05,3.543207366661935229e-03,2.214042685073843407e-03
-2.254713351001604734e-05,3.543207357983974969e-03,2.214042698961475771e-03
-2.263715350285177715e-05,3.543207349271236106e-03,2.214042712904766303e-03
-2.272718970148544440e-05,3.543207340523711266e-03,2.214042726903725413e-03
-2.281724048533625350e-05,3.543207331741394378e-03,2.214042740958363942e-03
-2.290730439588148601e-05,3.543207322924280239e-03,2.214042755068690131e-03
-2.299738012045069027e-05,3.543207314072362776e-03,2.214042769234712219e-03
-2.308746647764045164e-05,3.543207305185637219e-03,2.214042783456438013e-03
-2.317756240418769595e-05,3.543207296264100966e-03,2.214042797733873583e-03
-2.326766694315564999e-05,3.543207287307748813e-03,2.214042812067025003e-03
-2.335777923330120974e-05,3.543207278316578591e-03,2.214042826455897475e-03
-2.344789849950558905e-05,3.543207269290587699e-03,2.214042840900495770e-03
-2.353802404416187495e-05,3.543207260229771366e-03,2.214042855400825092e-03
-2.362815523942383934e-05,3.543207251134128724e-03,2.214042869956887611e-03
-2.371829152022986371e-05,3.543207242003657172e-03,2.214042884568688096e-03
-2.380843237802450054e-05,3.543207232838354540e-03,2.214042899236230016e-03
-2.389857735510784201e-05,3.543207223638219529e-03,2.214042913959514674e-03
-2.398872603954995105e-05,3.543207214403249969e-03,2.214042928738546405e-03
