gps_lat (deg),gps_lon (deg),gps_alt (m),gps_vN (m/s),gps_vE (m/s),gps_vD (m/s)
3.200017452030441234e+01,1.199999999999999858e+02,-2.369936485709956130e-15,6.509999999999970477e+00,-3.986225331224616372e-16,7.972450662449232744e-16
3.200018043173774629e+01,1.199999999999999858e+02,-2.450212083394065023e-15,6.609999999999968345e+00,-4.047457671181983157e-16,8.094915342363966314e-16
3.200018643335312163e+01,1.199999999999999858e+02,-2.531712327877321094e-15,6.709999999999966214e+00,-4.108690011139349449e-16,8.217380022278698898e-16
3.200019252515054546e+01,1.199999999999999858e+02,-2.614437219159724342e-15,6.809999999999964082e+00,-4.169922351096715741e-16,8.339844702193431483e-16
3.200019870713001069e+01,1.199999999999999858e+02,-2.698386757241275163e-15,6.909999999999961950e+00,-4.231154691054082034e-16,8.462309382108164067e-16
3.200020497929152441e+01,1.199999999999999858e+02,-2.783560942121973162e-15,7.009999999999959819e+00,-4.292387031011448326e-16,8.584774062022896651e-16
3.200021134163507952e+01,1.199999999999999858e+02,-2.869959773801818339e-15,7.109999999999957687e+00,-4.353619370968814618e-16,8.707238741937629236e-16
3.200021779416066892e+01,1.199999999999999858e+02,-2.957583252280811088e-15,7.209999999999955556e+00,-4.414851710926180910e-16,8.829703421852361820e-16
3.200022433686830681e+01,1.199999999999999858e+02,-3.046431377558951015e-15,7.309999999999953424e+00,-4.476084050883547695e-16,8.952168101767095391e-16
3.200023096975798609e+01,1.199999999999999858e+02,-3.136504149636238120e-15,7.409999999999951292e+00,-4.537316390840913494e-16,9.074632781681826989e-16
3.200023769282970676e+01,1.199999999999999858e+02,-3.227801568512672798e-15,7.509999999999949161e+00,-4.598548730798280280e-16,9.197097461596560559e-16
3.200024450608346882e+01,1.199999999999999858e+02,-3.320323634188254653e-15,7.609999999999947029e+00,-4.659781070755646079e-16,9.319562141511292158e-16
3.200025140951926517e+01,1.199999999999999858e+02,-3.414070346662983687e-15,7.709999999999944897e+00,-4.721013410713012864e-16,9.442026821426025728e-16
