ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
-2.279899672800738840e-04,9.999843157595695864e-01,9.794840621045478812e+00
-2.287628037942392872e-04,9.999858841836124501e-01,9.794840611959440224e+00
-2.295356415378234111e-04,9.999872957652510275e-01,9.794840602842642241e+00
-2.303084803896695632e-04,9.999885661887257804e-01,9.794840593695084863e+00
-2.310813202407425667e-04,9.999897095698531135e-01,9.794840584516766313e+00
-2.318541609929165685e-04,9.999907386128676912e-01,9.794840575307693697e+00
-2.326270025578840606e-04,9.999916647515807444e-01,9.794840566067861687e+00
-2.333998448561741892e-04,9.999924982764225589e-01,9.794840556797277387e+00
-2.341726878162691031e-04,9.999932484487801254e-01,9.794840547495935468e+00
-2.349455313738084471e-04,9.999939236039019352e-01,9.794840538163837707e+00
-2.357183754708737616e-04,9.999945312435115641e-01,9.794840528800991208e+00
-2.364912200553444396e-04,9.999950781191603300e-01,9.794840519407390644e+00
-2.372640650803175156e-04,9.999955703072441748e-01,9.794840509983039567e+00
-2.380369105035863000e-04,9.999960132765196574e-01,9.794840500527936200e+00
-2.388097562871706488e-04,9.999964119488675696e-01,9.794840491042078767e+00
-2.395826023968941783e-04,9.999967707539806350e-01,9.794840481525470821e+00
-2.403554488020040903e-04,9.999970936785824716e-01,9.794840471978115914e+00
-2.411282954748285366e-04,9.999973843107240468e-01,9.794840462400006942e+00
-2.419011423904688686e-04,9.999976458796515644e-01,9.794840452791149232e+00
-2.426739895265221355e-04,9.999978812916863191e-01,9.794840443151541010e+00
-2.434468368628313654e-04,9.999980931625175318e-01,9.794840433481185826e+00
-2.442196843812612442e-04,9.999982838462656565e-01,9.794840423780080130e+00
-2.449925320654957489e-04,9.999984554616390131e-01,9.794840414048225696e+00
-2.457653799008564896e-04,9.999986099154749564e-01,9.794840404285620750e+00
-2.465382278741385345e-04,9.999987489239273719e-01,9.794840394492267066e+00
-2.473110759734632562e-04,9.999988740315345348e-01,9.794840384668168198e+00
-2.480839241881461132e-04,9.999989866283809370e-01,9.794840374813318817e+00
-2.488567725085763581e-04,9.999990879655427101e-01,9.794840364927718923e+00
-2.496296209261104058e-04,9.999991791689882836e-01,9.794840355011373845e+00
-2.504024694329749605e-04,9.999992612520893775e-01,9.794840345064281806e+00
-2.511753180221797913e-04,9.999993351268803288e-01,9.794840335086439254e+00
-2.519481666874393987e-04,9.999994016141922071e-01,9.794840325077846188e+00
-2.527210154231028668e-04,9.999994614527728531e-01,9.794840315038511491e+00
-2.534938642240902747e-04,9.999995153074954235e-01,9.794840304968422728e+00
-2.542667130858351798e-04,9.999995637767457035e-01,9.794840294867590558e+00
-2.550395620042339852e-04,9.999996073990710110e-01,9.794840284736009650e+00
-2.558124109755991566e-04,9.999996466591637434e-01,9.794840274573680006e+00
-2.565852599966176976e-04,9.999996819932472913e-01,9.794840264380601624e+00
-2.573581090643138527e-04,9.999997137939223846e-01,9.794840254156778059e+00
-2.581309581760152260e-04,9.999997424145300462e-01,9.794840243902205756e+00
-2.589038073293224783e-04,9.999997681730768972e-01,9.794840233616886493e+00
-2.596766565220822213e-04,9.999997913557691076e-01,9.794840223300820270e+00
-2.604495057523618104e-04,9.999998122201920747e-01,9.794840212954007086e+00
-2.612223550184283112e-04,9.999998309981726896e-01,9.794840202576443389e+00
-2.619952043187274656e-04,9.999998478983552763e-01,9.794840192168136284e+00
-2.627680536518664533e-04,9.999998631085196266e-01,9.794840181729078665e+00
-2.635409030165974118e-04,9.999998767976675529e-01,9.794840171259274086e+00
-2.643137524118035586e-04,9.999998891179007199e-01,9.794840160758722547e+00
-2.650866018364850425e-04,9.999999002061105147e-01,9.794840150227422271e+00
-2.658594512897482099e-04,9.999999101854993855e-01,9.794840139665378587e+00
-2.666323007707944916e-04,9.999999191669493026e-01,9.794840129072586166e+00
-2.674051502789109706e-04,9.999999272502542169e-01,9.794840118449045008e+00
-2.681779998134620332e-04,9.999999345252286176e-01,9.794840107794755113e+00
-2.689508493738812923e-04,9.999999410727056226e-01,9.794840097109721810e+00
-2.697236989596649734e-04,9.999999469654349271e-01,9.794840086393937995e+00
-2.704965485703654093e-04,9.999999522688912679e-01,9.794840075647407218e+00
-2.712693982055855110e-04,9.999999570420020634e-01,9.794840064870131258e+00
-2.720422478649738886e-04,9.999999613378017793e-01,9.794840054062104784e+00
-2.728150975482200808e-04,9.999999652040214571e-01,9.794840043223333126e+00
-2.735879472550504891e-04,9.999999686836191781e-01,9.794840032353812731e+00
-2.743607969852246376e-04,9.999999718152571271e-01,9.794840021453548928e+00
-2.751336467385320284e-04,9.999999746337312478e-01,9.794840010522534612e+00
-2.759064965147891603e-04,9.999999771703580453e-01,9.794839999560771560e+00
-2.766793463138363844e-04,9.999999794533220854e-01,9.794839988568265099e+00
-2.774521961355361699e-04,9.999999815079897436e-01,9.794839977545009901e+00
-2.782250459797705553e-04,9.999999833571906471e-01,9.794839966491005967e+00
-2.789978958464391437e-04,9.999999850214714714e-01,9.794839955406255072e+00
-2.797707457354573130e-04,9.999999865193242021e-01,9.794839944290755440e+00
-2.805435956467548070e-04,9.999999878673916376e-01,9.794839933144512401e+00
-2.813164455802744882e-04,9.999999890806523517e-01,9.794839921967520624e+00
-2.820892955359702780e-04,9.999999901725870055e-01,9.794839910759781887e+00
-2.828621455138071025e-04,9.999999911553282272e-01,9.794839899521292637e+00
-2.836349955137587781e-04,9.999999920397952824e-01,9.794839888252059978e+00
-2.844078455358077951e-04,9.999999928358156431e-01,9.794839876952080360e+00
-2.851806955799441787e-04,9.999999935522339012e-01,9.794839865621350228e+00
